"hotel_id";"hotel_name";"hotel_address";"room_type_name";"option_name";"option_price";"1 giường lớn";"1 giường lớn & 1 giường sofa";"1 giường đôi";"1 giường đôi lớn";"1 giường đôi lớn & 1 giường sofa";"1 giường đôi lớn & 1 giường đôi lớn & 1 giường sofa";"1 giường đôi lớn & 2 giường đơn và 1 giường sofa";"1 phòng tắm";"2 giường lớn";"2 giường đôi lớn";"2 giường đôi lớn & 2 giường đôi lớn";"2 giường đơn";"2 giường đơn & 1 giường đôi lớn";"2 phòng ngủ";"2 phòng tắm";"3 giường đơn";"Ban công/sân hiên";"Bồn tắm";"Bồn tắm/vòi sen riêng";"Cửa sổ";"Cửa sổ mở";"Diện tích phòng: 12 m²";"Diện tích phòng: 15 m²";"Diện tích phòng: 25 m²";"Diện tích phòng: 28 m²";"Diện tích phòng: 30 m²";"Diện tích phòng: 35 m²";"Diện tích phòng: 36 m²";"Diện tích phòng: 40 m²";"Diện tích phòng: 46 m²";"Diện tích phòng: 70 m²";"Diện tích phòng: 92 m²";"Giường cực dài";"Hành lang ngoài";"Hướng Ngoài trời";"Hướng Thành phố";"Hướng Vườn";"Không hút thuốc";"Máy sấy tóc";"Nước đóng chai miễn phí";"Rèm che ánh sáng";"Studio/1 phòng ngủ";"Truy cập Internet - không dây";"Trái cây/đồ ăn vặt";"Tủ lạnh nhỏ trong phòng";"Tủ quần áo";"phòng tắm riêng";"tầng cao";"tầng trệt";"Điều hòa";"Đồ dùng cho giấc ngủ thoải mái";"Ấm nước điện"
"63995759";"Khách sạn ADAMO Hưng Yên (ADAMO HOTEL HUNG YEN)";"DT200 TT V ng xuyến, ng 5, Y n Mỹ, Hưng Y n 160000, Hưng Yên, Hưng Yên, Việt Nam, 560000";"Phòng Deluxe giường đôi (Double Deluxe Room)";"Thông tin sức chứa phòng: 2 người lớn và 1 trẻ em.";"1.375.880
₫";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"63995759";"Khách sạn ADAMO Hưng Yên (ADAMO HOTEL HUNG YEN)";"DT200 TT V ng xuyến, ng 5, Y n Mỹ, Hưng Y n 160000, Hưng Yên, Hưng Yên, Việt Nam, 560000";"Phòng Premier Hướng phố (Premier City View Room)";"Thông tin sức chứa phòng: 2 người lớn và 1 trẻ em.";"1.517.059
₫";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"63995759";"Khách sạn ADAMO Hưng Yên (ADAMO HOTEL HUNG YEN)";"DT200 TT V ng xuyến, ng 5, Y n Mỹ, Hưng Y n 160000, Hưng Yên, Hưng Yên, Việt Nam, 560000";"Phòng Premier Hướng phố (Premier City View Room)";"Thông tin sức chứa phòng: 2 người lớn và 1 trẻ em.";"1.532.230
₫";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"63995759";"Khách sạn ADAMO Hưng Yên (ADAMO HOTEL HUNG YEN)";"DT200 TT V ng xuyến, ng 5, Y n Mỹ, Hưng Y n 160000, Hưng Yên, Hưng Yên, Việt Nam, 560000";"Junior suite double or twin balcony";"Thông tin sức chứa phòng: 2 người lớn.";"1.877.243
₫";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"1";"1"
"63995759";"Khách sạn ADAMO Hưng Yên (ADAMO HOTEL HUNG YEN)";"DT200 TT V ng xuyến, ng 5, Y n Mỹ, Hưng Y n 160000, Hưng Yên, Hưng Yên, Việt Nam, 560000";"Suite có giường cỡ King với ban công (King Suite with Balcony)";"Thông tin sức chứa phòng: 2 người lớn và 1 trẻ em.";"1.956.019
₫";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"1";"0"
"63995759";"Khách sạn ADAMO Hưng Yên (ADAMO HOTEL HUNG YEN)";"DT200 TT V ng xuyến, ng 5, Y n Mỹ, Hưng Y n 160000, Hưng Yên, Hưng Yên, Việt Nam, 560000";"Executive Suite 1 giường King (Executive Suite 1 King)";"Thông tin sức chứa phòng: 2 người lớn và 1 trẻ em.";"2.315.528
₫";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"63995759";"Khách sạn ADAMO Hưng Yên (ADAMO HOTEL HUNG YEN)";"DT200 TT V ng xuyến, ng 5, Y n Mỹ, Hưng Y n 160000, Hưng Yên, Hưng Yên, Việt Nam, 560000";"Executive Suite 1 giường King (Executive Suite 1 King)";"Thông tin sức chứa phòng: 2 người lớn và 1 trẻ em.";"2.338.684
₫";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"63995759";"Khách sạn ADAMO Hưng Yên (ADAMO HOTEL HUNG YEN)";"DT200 TT V ng xuyến, ng 5, Y n Mỹ, Hưng Y n 160000, Hưng Yên, Hưng Yên, Việt Nam, 560000";"Căn 1 phòng ngủ có ban công (1-Bedroom Residence with Balcony)";"Thông tin sức chứa phòng: 2 người lớn và 1 trẻ em.";"2.315.528
₫";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"63995759";"Khách sạn ADAMO Hưng Yên (ADAMO HOTEL HUNG YEN)";"DT200 TT V ng xuyến, ng 5, Y n Mỹ, Hưng Y n 160000, Hưng Yên, Hưng Yên, Việt Nam, 560000";"Căn 1 phòng ngủ có ban công (1-Bedroom Residence with Balcony)";"Thông tin sức chứa phòng: 2 người lớn và 1 trẻ em.";"2.338.684
₫";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"63995759";"Khách sạn ADAMO Hưng Yên (ADAMO HOTEL HUNG YEN)";"DT200 TT V ng xuyến, ng 5, Y n Mỹ, Hưng Y n 160000, Hưng Yên, Hưng Yên, Việt Nam, 560000";"Căn Hộ 1 Phòng Ngủ Nhìn Ra Thành Phố (One-Bedroom Apartment with City View)";"Thông tin sức chứa phòng: 2 người lớn và 1 trẻ em.";"2.985.524
₫";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"1";"0"
