"hotel_id";"hotel_name";"hotel_address";"room_type_name";"option_name";"option_price";"1 giường lớn";"1 giường lớn / 1 giường đôi";"1 giường tầng";"1 giường đôi";"1 giường đôi lớn";"1 giường đôi và 1 giường lớn";"1 giường đôi và 1 giường đôi lớn";"1 giường đơn";"1 nệm futon";"1 phòng tắm";"14 m²";"15 m²";"16 m²";"2 giường đôi lớn";"2 giường đơn";"2 phòng ngủ";"20 m²";"24 m²";"25 m²";"28 m²";"30 m²";"33 m²";"35 m²";"64 m²";"70 m²";"Ban công/sân hiên";"Bồn tắm";"Cà phê hòa tan miễn phí";"Cửa sổ";"Giường cực dài";"Hướng Hồ";"Hướng Ngoài trời";"Hướng Núi";"Hướng Thiên nhiên";"Hướng Thành phố";"Hướng Vườn";"Máy sấy tóc";"Nước đóng chai miễn phí";"Phòng tắm chung";"Phòng tắm đứng";"Quạt";"Rèm che ánh sáng";"Studio/1 phòng ngủ";"Tối đa 1 người lớn";"Tối đa 2 người lớn";"Tối đa 2 người lớn, 1 bé (0-7 tuổi) ở MIỄN PHÍ!";"Tối đa 2 người lớn, 1 bé (1-11 tuổi) ở MIỄN PHÍ!";"Tối đa 3 người lớn";"Tối đa 4 người lớn";"Tủ lạnh";"Tủ lạnh nhỏ trong phòng";"Tủ quần áo";"Vòi sen";"Wi-Fi [miễn phí]";"phòng tắm riêng";"tầng trệt";"Điều hòa";"Đồ dùng cho giấc ngủ thoải mái";"Đồ gỗ ngoài trời";"Ấm nước";"Ấm nước điện"
"79972415";"Ladona Farmstay";"Ladona Farmstay, Đồng Xoài, Dồng Xoài, Việt Nam";"Phòng Giường Đôi Có Ban Công (2 Người Lớn + 1 Trẻ Em) (Double Room with Balcony (2 Adults + 1 Child))";"2 người lớn";"590.909";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"1";"0";"0";"1"
"64896649";"Nhà Nghỉ Đồng Xoài Đoàn Gia";"1330/12/14 Phú Riềng Đỏ, Tân Đồng, 07, Đồng Xoài, Dồng Xoài, Việt Nam, 67100";"Phòng Tiêu Chuẩn (Standard Room)";"2 người lớn";"200.000";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"1"
"64896649";"Nhà Nghỉ Đồng Xoài Đoàn Gia";"1330/12/14 Phú Riềng Đỏ, Tân Đồng, 07, Đồng Xoài, Dồng Xoài, Việt Nam, 67100";"Phòng Tiêu Chuẩn (Standard Room)";"2 người lớn";"222.222";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"1"
"51515389";"Nhà nghỉ Quốc Khánh (Nha nghi Quoc Khanh)";"198 Quốc lộ 14, Đồng Xoài, Dồng Xoài, Việt Nam";"Phòng Đôi (Double Room)";"2 người lớn";"257.407";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"51515389";"Nhà nghỉ Quốc Khánh (Nha nghi Quoc Khanh)";"198 Quốc lộ 14, Đồng Xoài, Dồng Xoài, Việt Nam";"Phòng Đôi (Double Room)";"1 người lớn Vượt quá sức chứa phòng";"231.667";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"23166496";"Căn hộ 20 m² 1 phòng ngủ, 1 phòng tắm riêng ở Đồng Xoài (Hùng Oanh Hotel - Room with Double Bed)";"Đồng Xoài, Dồng Xoài, Việt Nam";"Căn hộ (Apartment)";"2 người lớn & 1 trẻ em (0-7 tuổi)";"477.026";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0";"0"
"59439521";"Nhà Nghỉ Bảo Ngọc";"329 Lê Quý Đôn, Tân Xuân, Đồng Xoài, Bình Phước, Đồng Xoài, Dồng Xoài, Việt Nam, 93000";"Phòng Đôi (Double Room)";"2 người lớn";"185.185";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"1";"0";"0";"0";"0"
"59439521";"Nhà Nghỉ Bảo Ngọc";"329 Lê Quý Đôn, Tân Xuân, Đồng Xoài, Bình Phước, Đồng Xoài, Dồng Xoài, Việt Nam, 93000";"Phòng 4 Người (Quadruple Room)";"2 người lớn";"267.593";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"1";"0";"1";"0";"0";"0";"0"
"59439521";"Nhà Nghỉ Bảo Ngọc";"329 Lê Quý Đôn, Tân Xuân, Đồng Xoài, Bình Phước, Đồng Xoài, Dồng Xoài, Việt Nam, 93000";"Phòng 4 Người (Quadruple Room)";"3 người lớn";"283.333";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"1";"0";"1";"0";"0";"0";"0"
"59439521";"Nhà Nghỉ Bảo Ngọc";"329 Lê Quý Đôn, Tân Xuân, Đồng Xoài, Bình Phước, Đồng Xoài, Dồng Xoài, Việt Nam, 93000";"Phòng 4 Người (Quadruple Room)";"1 người lớn Vượt quá sức chứa phòng";"251.852";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"1";"0";"1";"0";"0";"0";"0"
