room_type_id,price_option_price,adults_number,children_number,bãi_đậu_xe,phòng_tập,wifi_miễn_phí,không_hoàn_tiền,miễn_phí_hủy,vào_hồ_bơi_miễn_phí,đã_kèm_bữa_sáng
57,1527778.0,1,0,1,0,1,0,0,0,1
58,1017959.0,2,2,1,0,1,0,0,1,1
58,1020700.0,2,0,1,0,1,0,0,0,1
58,1024348.0,2,0,1,0,1,0,1,0,1
58,1066138.0,2,2,1,0,1,0,0,1,1
59,1037909.0,2,0,1,0,1,1,0,0,1
59,1805556.0,2,0,1,0,1,0,0,0,1
60,1102971.0,2,0,1,0,1,1,0,0,1
60,1048983.0,1,1,1,0,1,0,0,1,1
60,1066138.0,1,1,1,0,1,0,0,1,1
60,1805556.0,1,0,1,0,1,0,0,0,1
61,1258279.0,2,2,1,0,1,0,0,1,1
61,1312169.0,2,2,1,0,1,0,0,1,1
62,1276207.0,2,0,1,0,1,0,0,0,1
62,1280615.0,2,0,1,0,1,0,1,0,1
62,1291319.0,1,1,1,0,1,0,0,1,1
62,1312169.0,1,1,1,0,1,0,0,1,1
63,1527778.0,2,0,1,0,1,0,0,0,1
64,1680870.0,2,0,1,0,1,1,0,0,1
64,1895176.0,2,0,1,0,1,0,1,0,1
64,2050265.0,2,2,1,0,1,0,0,1,1
65,3472222.0,2,0,1,0,1,0,0,0,1
66,3936217.0,2,0,1,0,1,1,0,0,1
67,2500000.0,2,0,0,0,0,0,1,0,0
67,2900000.0,2,0,0,0,0,0,1,0,1
67,3050000.0,2,0,1,0,1,0,1,0,1
68,354507.0,2,0,1,0,1,0,1,0,0
68,343657.0,1,0,1,0,1,0,1,0,0
69,456619.0,2,0,1,0,1,0,1,0,0
69,507676.0,3,0,1,0,1,0,1,0,0
69,429572.0,1,0,1,0,1,0,1,0,0
70,1988952.0,2,0,1,1,1,1,0,0,1
71,315657.0,2,0,0,0,1,0,1,0,0
71,325251.0,2,0,1,0,1,0,1,0,0
72,420875.0,4,0,0,0,1,0,1,0,0
72,434546.0,4,0,1,0,1,0,1,0,0
73,2211436.0,2,0,1,1,1,1,0,0,0
73,2248361.0,2,0,1,1,1,0,1,0,0
73,2442096.0,2,0,1,1,1,1,0,0,1
73,2568794.0,2,0,1,1,1,0,1,0,1
74,2211436.0,2,0,1,1,1,1,0,0,0
74,2248361.0,2,0,1,1,1,0,1,0,0
74,2442096.0,2,0,1,1,1,1,0,0,1
74,2568794.0,2,0,1,1,1,0,1,0,1
75,2704385.0,2,0,1,1,1,1,0,0,0
75,2744082.0,2,0,1,1,1,0,1,0,0
75,2955574.0,2,0,1,1,1,1,0,0,1
75,3081584.0,2,0,1,1,1,0,1,0,1
76,2704385.0,2,0,1,1,1,1,0,0,0
76,2744082.0,2,0,1,1,1,0,1,0,0
76,2955574.0,2,0,1,1,1,1,0,0,1
76,3081584.0,2,0,1,1,1,0,1,0,1
77,2899900.0,2,0,1,1,1,1,0,0,0
77,2917551.0,2,0,1,1,1,0,1,0,0
77,3128135.0,2,0,1,1,1,1,0,0,1
77,3259568.0,2,0,1,1,1,0,1,0,1
78,2917551.0,2,0,1,1,1,0,1,0,0
78,2931151.0,2,0,1,1,1,0,1,0,0
78,3057806.0,2,0,1,1,1,1,0,0,1
78,3259568.0,2,0,1,1,1,0,1,0,1
79,633816.0,2,0,1,0,1,0,1,0,0
79,956665.0,2,1,1,0,1,0,0,0,0
80,633816.0,2,0,1,0,1,0,1,0,0
81,633816.0,2,0,1,0,1,0,1,0,0
82,717499.0,2,1,1,0,1,0,0,0,0
83,744474.0,2,1,1,0,1,0,1,0,0
84,744474.0,2,1,1,0,1,0,1,0,0
85,956665.0,2,0,1,0,1,0,0,0,0
86,406343.0,2,1,1,0,1,0,1,0,0
86,467372.0,2,1,1,0,1,1,0,0,0
87,460790.0,2,1,1,0,1,0,1,0,0
87,502645.0,2,1,1,0,1,1,0,0,0
88,460790.0,2,1,1,0,1,0,1,0,0
88,502645.0,2,1,1,0,1,1,0,0,0
89,496617.0,2,1,1,0,1,0,1,0,0
89,537919.0,2,1,1,0,1,1,0,0,0
90,496617.0,2,1,1,0,1,0,1,0,0
90,537919.0,2,1,1,0,1,1,0,0,0
91,592562.0,2,1,1,0,1,0,1,0,0
91,626102.0,2,1,1,0,1,1,0,0,0
92,729870.0,2,0,1,1,1,0,1,0,0
92,781250.0,2,0,1,1,1,0,1,0,0
92,703125.0,1,0,1,1,1,0,1,0,0
93,1011029.0,4,0,1,1,1,0,1,0,0
93,1044093.0,2,0,1,1,1,0,1,0,0
94,955853.0,2,0,1,1,1,0,1,0,0
94,1449743.0,2,1,1,1,1,1,0,0,0
94,1610825.0,2,1,1,1,1,0,1,0,0
95,2256015.0,2,1,1,1,1,0,1,0,0
95,2579824.0,3,1,1,1,1,0,1,0,0
95,2211278.0,1,1,1,1,1,0,1,0,0
96,588880.0,2,0,1,0,1,0,1,0,0
96,800000.0,2,1,1,0,1,0,0,0,0
96,597658.0,1,1,1,0,1,0,1,0,0
96,768000.0,1,1,1,0,1,0,0,0,0
97,678431.0,2,1,1,0,1,0,1,0,0
97,722037.0,3,1,1,0,1,0,1,0,0
97,906667.0,2,1,1,0,1,0,0,0,0
98,680584.0,2,0,1,0,1,0,1,0,0
98,866667.0,2,1,1,0,1,0,0,0,0
98,832000.0,1,1,1,0,1,0,0,0,0
99,843392.0,2,0,1,0,1,0,1,0,0
99,980000.0,2,0,1,0,1,0,0,0,0
99,847070.0,1,1,1,0,1,0,1,0,0
100,592935.0,2,0,1,1,1,1,0,0,1
100,1206877.0,2,0,1,1,1,0,1,0,1
100,1047503.0,1,1,1,1,1,1,0,0,1
101,1146212.0,2,0,1,1,1,1,0,0,1
101,2216483.0,2,0,1,1,1,0,1,0,1
101,1664034.0,1,1,1,1,1,1,0,0,1
102,370370.0,2,0,1,0,0,0,1,0,0
103,462963.0,4,0,1,0,0,0,1,0,0
104,398148.0,2,0,0,0,0,0,1,0,0
105,267915.0,2,0,1,0,1,0,1,0,0
105,342222.0,2,0,1,0,1,0,1,0,0
105,325111.0,1,0,1,0,1,0,1,0,0
106,351800.0,2,2,1,0,1,0,1,0,0
107,414622.0,2,0,1,0,1,0,1,0,0
108,327079.0,2,2,1,0,1,0,1,0,0
109,416667.0,2,0,1,0,1,1,0,0,0
110,229779.0,2,0,1,0,1,0,1,0,0
111,275736.0,2,0,1,0,1,0,1,0,0
112,413603.0,3,0,1,0,1,0,1,0,0
113,229779.0,1,0,1,0,1,0,1,0,0
114,335097.0,2,0,1,0,1,0,0,0,1
114,318342.0,1,0,1,0,1,0,0,0,1
115,423280.0,2,1,1,0,1,0,0,0,1
116,529101.0,3,1,1,0,1,0,0,0,1
117,599647.0,3,1,1,0,1,0,0,0,1
118,864198.0,2,1,1,0,1,0,0,0,1
119,1128748.0,6,1,1,0,1,0,0,0,1
120,291322.0,2,1,1,0,1,0,1,0,0
120,323119.0,1,1,1,0,1,0,1,0,0
121,507875.0,4,2,1,0,1,0,1,0,0
122,512077.0,2,1,1,0,1,0,1,0,0
123,192096.0,2,0,1,0,1,0,0,0,0
123,202206.0,2,0,1,0,1,0,1,0,0
124,266545.0,2,0,1,0,1,0,1,0,0
124,307905.0,3,0,1,0,1,0,1,0,0
125,367647.0,3,0,1,0,1,0,1,0,0
126,372414.0,2,0,0,0,1,0,0,0,0
126,555556.0,1,0,0,0,1,0,0,0,0
127,470172.0,2,0,0,0,1,0,0,0,0
127,537037.0,2,0,0,0,1,0,0,0,0
128,527318.0,2,0,0,0,1,1,0,0,0
128,774205.0,2,0,0,0,1,1,0,0,1
129,673884.0,4,0,0,0,1,1,0,0,0
129,1054684.0,4,0,0,0,1,1,0,0,1
130,765000.0,2,0,0,0,1,0,0,0,0
130,1093500.0,2,0,0,0,1,0,0,0,1
131,582080.0,2,1,0,0,0,1,0,0,0
131,795505.0,2,1,0,0,0,1,0,0,0
132,1200158.0,3,1,0,0,0,1,0,0,0
132,1495549.0,3,1,0,0,0,1,0,0,0
133,1519519.0,4,1,0,0,0,1,0,0,0
133,1893301.0,4,1,0,0,0,1,0,0,0
134,1679132.0,4,2,0,0,0,1,0,0,0
135,2092177.0,4,0,0,0,0,1,0,0,0
136,231481.0,2,0,1,0,1,0,1,0,0
137,506856.0,2,0,1,0,1,0,1,0,0
138,357400.0,2,0,1,0,1,0,0,0,0
138,410185.0,2,0,1,0,1,0,1,0,0
139,461237.0,2,0,1,0,1,0,0,0,0
139,505556.0,2,0,1,0,1,0,1,0,0
140,519641.0,2,0,1,0,1,0,0,0,0
140,564815.0,2,0,1,0,1,0,1,0,0
141,714937.0,4,0,1,0,1,0,0,0,0
142,751852.0,4,0,1,0,1,0,1,0,0
143,370370.0,2,0,0,0,0,0,1,0,1
144,555556.0,2,0,0,0,0,0,1,0,1
145,277778.0,2,1,1,0,1,0,1,0,0
146,324074.0,2,1,1,0,1,0,1,0,0
147,416667.0,2,2,1,0,1,0,1,0,0
147,462963.0,4,2,1,0,1,0,1,0,0
148,634194.0,2,0,0,0,1,0,1,0,0
148,864430.0,2,0,0,0,1,0,1,0,0
149,780643.0,2,0,0,0,1,0,1,0,0
149,1021599.0,2,0,0,0,1,0,1,0,0
150,897922.0,2,0,0,0,1,0,1,0,0
151,1178769.0,2,0,0,0,1,0,1,0,0
151,1178769.0,2,0,0,0,1,0,0,0,0
152,306394.0,2,1,1,0,1,0,1,0,0
152,368333.0,2,1,1,0,1,0,1,0,0
153,464150.0,4,1,1,0,1,0,1,0,0
153,525741.0,4,1,1,0,1,0,1,0,0
154,319655.0,2,0,1,0,1,1,0,0,0
155,351852.0,2,0,1,0,0,0,1,0,0
156,416667.0,2,0,1,0,1,0,1,0,0
157,601852.0,4,0,1,0,1,0,1,0,0
158,1338739.0,2,0,1,0,1,1,0,0,1
159,1469444.0,2,0,1,0,1,1,0,0,1
159,1554825.0,2,0,1,0,1,0,1,0,1
160,1503675.0,2,0,1,0,1,1,0,0,1
160,1684394.0,2,0,1,0,1,0,1,0,1
161,1650463.0,2,0,1,0,1,1,0,0,1
162,1697683.0,2,0,1,0,1,1,0,0,1
162,2177546.0,2,0,1,0,1,1,0,0,1
163,1940209.0,2,0,1,0,1,1,0,0,1
163,2764134.0,2,0,1,0,1,0,1,0,1
164,2418617.0,2,0,1,0,1,0,1,0,1
165,3289078.0,4,0,1,0,1,0,1,0,1
165,3460648.0,4,0,1,0,1,1,0,0,1
166,509259.0,2,0,1,0,1,0,1,0,0
167,694444.0,4,0,1,0,1,0,1,0,0
168,218052.0,2,1,1,0,1,0,1,0,0
169,236111.0,2,1,1,0,1,0,1,0,0
170,288056.0,2,1,1,0,1,0,1,0,0
170,316861.0,2,1,1,0,1,1,0,0,0
171,333704.0,2,1,1,0,1,0,1,0,0
171,367074.0,2,1,1,0,1,1,0,0,0
172,418704.0,2,1,1,0,1,0,1,0,0
172,460574.0,2,1,1,0,1,1,0,0,0
173,431296.0,4,2,1,0,1,0,1,0,0
173,474426.0,4,2,1,0,1,1,0,0,0
174,445718.0,2,0,0,0,0,1,0,0,0
175,624005.0,3,1,0,0,0,1,0,0,0
176,713149.0,4,2,0,0,0,1,0,0,0
177,285772.0,2,1,1,0,1,0,1,0,0
177,361574.0,2,1,1,0,1,0,0,0,0
178,590218.0,2,1,1,0,1,0,1,0,0
179,697685.0,2,1,1,0,1,0,0,0,0
180,840521.0,2,1,1,0,1,0,1,0,0
181,987963.0,2,1,1,0,1,0,0,0,0
182,324074.0,2,0,1,0,1,0,1,0,0
183,370370.0,2,0,1,0,1,0,1,0,0
184,431019.0,2,0,1,0,1,0,1,0,0
185,583333.0,3,0,1,0,1,0,1,0,0
186,748825.0,2,1,1,0,1,0,1,0,0
186,899884.0,3,1,1,0,1,0,1,0,0
187,361111.0,2,0,1,0,1,0,1,0,0
188,416667.0,3,0,1,0,1,0,1,0,0
189,280000.0,2,0,0,0,1,0,1,0,0
189,266000.0,1,0,0,0,1,0,1,0,0
190,357569.0,2,0,1,0,1,1,0,0,0
190,397299.0,2,0,1,0,1,0,1,0,0
