hotel_id,room_room_type_name,room_type_id
49293019,Phòng Deluxe Giường Đôi Có Ban Công (Deluxe Double Room with Balcony),7263
49293019,Phòng Deluxe Giường Đôi Có Ban Công (Deluxe Double Room with Balcony),7264
55665001,Phòng 1 Giường Đôi Lớn (1 Queen Room),7265
55665001,Phòng 2 giường đôi (Double Twin),7266
55665001,Phòng Gia Đình (Family Room),7267
72810605,Căn Hộ 2 Phòng Ngủ (Two-Bedroom Apartment),7268
72810605,Căn Hộ 3 Phòng Ngủ Có Ban Công (Three-Bedroom Apartment with Balcony),7269
1293389,Phòng Được sắp xếp tùy ý khi đến (Room Assigned on Arrival),7270
78722567,Phòng Với Sân Hiên Nhìn Ra Vườn (Garden View Terrace Room),7271
78722567,Suite Nhỏ Hướng Đại Dương Giường Đôi ( Junior Suite Ocean View Double),7272
78722567,(Mùa Thu PKG) Phòng Tiêu Chuẩn 2 Giường ((Autumn PKG) Standard Twin),7273
78722567,Phòng Gia Đình (Family Room),7274
78722567,Biệt Thự 2 Phòng Ngủ Có Hồ Bơi Nhìn Ra Sông (Riverfront Two-Bedroom Pool Villa),7275
29383456,Phòng Loại Sang (Deluxe Room),7276
29383456,Phòng Hai Giường Đơn (Twin Room),7277
29383456,Phòng 3 người có ban công (Triple Room with Balcony),7278
29383456,Phòng gia đình có ban công (Family Room with Balcony),7279
29383456,Phòng 4 người có ban công (Quadruple Room with Balcony),7280
67796344,Căn Hộ 2 Phòng Ngủ (Two-Bedroom Apartment),7281
73544698,Căn Hộ 2 phòng ngủ (4 người Lớn) (2-Bedroom Apartment for 4 Adults),7282
73544698,Căn 2 Phòng Ngủ Hướng Sông (2 Bedroom River View),7283
73544698,Căn Hộ 2 Hai Phòng Ngủ Có Ban Công (1-Bedroom Apartment 2 with Balcony),7284
73544698,Căn Hộ – 3 Phòng Ngủ (Apartment - 3 Bedrooms),7285
49702344,Phòng Đôi (Double Room),7286
49702344,Phòng Ba Người (Triple Room),7287
49702344,Phòng Hai Giường Đơn (Twin Room),7288
49702344,Phòng 4 Người (Quadruple Room),7289
49702344,Phòng Gia Đình (Family Room),7290
165383,Phòng Superior Giường Đôi/2 Giường Đơn (Superior Twin or Double ),7291
41571819,Căn Hộ 2 Phòng Ngủ (Two-Bedroom Apartment),7292
2634999,Phòng 2 giường đơn có ban công (Twin Room with Balcony),7293
2634999,Phòng Deluxe Giường Đôi Có Ban Công (Deluxe Double Room with Balcony),7294
2634999,Phòng Cổ Điển Cho 4 Người (Classic Quadruple Room),7295
2634999,Phòng Đơn Có Phòng Tắm Riêng (Single Room with Private Bathroom),7296
74453371,Phòng Đôi (Double Room),7297
74453371,Phòng Giường Đôi Có Ban Công (Double Room with Balcony),7298
74453371,Phòng 2 Giường Đôi (Double Room with Two Double Beds),7299
74453371,Phòng 2 giường đơn có ban công (Twin Room with Balcony),7300
72182497,Deluxe có ban công (Deluxe Balcony),7301
72182497,Deluxe gia đình (Family Deluxe),7302
35696211,Giường đôi - 2 người (Double - 2 People),7303
63200942,Phòng Deluxe Có Giường Cỡ King (Deluxe King Room),7304
63200942,Phòng Có 2 Giường Cỡ King (King Room with Two King Beds),7305
63200942,Phòng Giường Đôi Có Giường Phụ (Double Room with Extra Bed),7306
63200942,Phòng Superior Có Giường Cỡ King (Superior King Room),7307
55209158,Phòng Giường Đôi Hạng Bình Dân (Budget Double Room),7308
55209158,Căn hộ Tiêu chuẩn (Standard Apartment),7309
38707693,Loại Sang - 1 Giường Lớn (Deluxe - 1 King Bed),7310
38707693,Phòng 2 giường có phòng tắm riêng (Twin Room with Private Bathroom),7311
38707693,Familiar 3-4 người (Familiar 3-4 people),7312
75894291,Phòng Giường Đôi Có Ban Công (Double Room with Balcony),7313
75894291,Phòng Đôi Loại Sang (Deluxe Double Room),7314
28281967,Phòng hướng vườn giường King (Garden View King Room),7315
28281967,Phòng Loại Sang (Deluxe Room),7316
28281967,Phòng Family Hướng Vườn (Garden View Family Room),7317
28281967,Phòng gia đình có ban công (Family with balcony),7318
28281967,Phòng gia đình 4 người (Family 4 People),7319
28281967,Biệt thự Gia đình (Villa Family),7320
79758142,Phòng Tiêu Chuẩn (Standard Room),7321
79758142,Phòng Tiêu Chuẩn Có Ban Công (Standard Balcony),7322
79758142,Phòng Gia Đình (Family Room),7323
78457728,Phòng Đôi Loại Sang (Deluxe Double Room),7324
78457728,Phòng Hạng Tiết kiệm Cho 4 Người (Economy Quadruple Room),7325
37181183,Phòng đơn Tiêu chuẩn (Standard Individual),7326
37181183,Phòng Hai Giường Đơn Loại Sang Loại A ( Deluxe Twin Room Type A),7327
37181183,Phòng giường đôi lớn (Large Double Room),7328
37181183,Phòng gia đình hướng thành phố (Family City View),7329
37181183,Phòng Deluxe cho 4 người (Deluxe Room for 4 People),7330
78198329,Villa riêng (Private Villa),7331
33956034,Phòng tiết kiệm giường đôi (Economy Double Room),7332
33956034,Phòng Loại Sang Giường Đôi (Deluxe Double Room),7333
33956034,Phòng Deluxe giường Queen (Deluxe Queen Room),7334
75698417,Phòng Đơn (Single Room - No Parking),7335
75698417,Phòng Giường Đôi Lớn (Large Double Room),7336
75698417,Deluxe hướng sông (Deluxe River View),7337
75698417,Phòng Giường Đôi/2 Giường Đơn (Double or Twin Room),7338
75698417,Phòng 2 giường có cửa sổ (Twin Room with Window),7339
53491126,Giường đôi - 2 người (Double - 2 People),7340
53491126,Phòng giường đôi có ban công (Double Room with Balcony),7341
53491126,Standard 2 Double Beds Accessible Non-Smoking,7342
53491126,Phòng 4 Người Có Phòng Tắm (Quadruple Room with Bathroom),7343
25971739,Phòng Đôi Loại Sang (Deluxe Double Room),7344
25971739,Phòng Hai Giường Đơn Loại Sang (Deluxe Twin Room),7345
25971739,Phòng Deluxe 3 người (Deluxe Triple Room),7346
25971739,Phòng Deluxe Gia đình (Deluxe Family Room),7347
25971739,Giường Trong Phòng Ngủ Tập Thể Cho Cả Nam Và Nữ 6 Giường (Bed in 6-Bed Mixed Dormitory Room),7348
76333392,Phòng Tiêu Chuẩn (Standard Room),7349
76333392,Phòng Tiêu Chuẩn Giường Đôi Lớn (Standard Queen Room),7350
76333392,Phòng Gia Đình (Family Room),7351
76333392,Standard dormitory,7352
64411013,Phòng Tiêu Chuẩn Giường Lớn (Standard King Room),7353
64411013,Phòng Có Giường Cỡ King Với Ban Công (King Room with Balcony),7354
64411013,Phòng Có Giường Cỡ King Nhìn Ra Vườn (King Room with Garden View),7355
64411013,Phòng Gia Đình Có Ban Công (Family Room with Balcony),7356
34156264,Phòng Superior 2 giường đôi (Superior Double Twin Room),7357
34156264,Phòng Đôi hoặc Hai Giường Đơn Loại Sang (Deluxe Double or Twin Room),7358
34156264,Phòng Gia Đình (Family Room),7359
288754,Phòng Tiêu chuẩn Giường đôi hoặc 2 giường đơn Không cửa sổ (Standard Double or Twin NO Window),7360
288754,Phòng Tiêu chuẩn giường đôi (Standard Double),7361
288754,Superior giường đôi (Superior Double),7362
288754,Deluxe giường đôi hoặc 2 giường (Deluxe Double or Twin),7363
288754,Phòng gia đình 3 người (Family Triple),7364
288754,Phòng Gia Đình (4 Người Lớn) (Family Room (4 Adults)),7365
1602795,Lều Cho 2 Người (Tent for 2 People),7366
1602795,Phòng Tiêu Chuẩn Hướng Núi Giường Đôi (Standard Double Mountain View),7367
1602795,Phòng Deluxe Giường Đôi/2 Giường Đơn Nhìn Ra Hồ Nước (Deluxe Double or Twin Room with Lake View),7368
75484029,Căn Hộ 2 Phòng Ngủ (Two-Bedroom Apartment),7369
63774894,Phòng giường Queen (Queen Room),7370
63774894,Phòng 2 Giường Đơn Nhìn Ra Núi (Twin Room with Mountain View),7371
63774894,Phòng 2 giường đơn Hướng phố (Twin Room City View),7372
74495019,Phòng Superior giường Queen (Superior Queen Bed),7373
