room_type_id;price_option_price;adults_number;children_number;bãi_đậu_xe;chiết_khấu_dịch_vụ_giặt_là;chiết_khấu_dịch_vụ_tại_phòng;cho_phép_order_đồ_ăn_bên_ngoài;các_kênh_truyền_hình_cáp;dịch_vụ_dọn_phòng_có_hạn_chế;dịch_vụ_giặt_ủi_có_giới_hạn;dịch_vụ_tư_vấn_khám_chữa_bệnh_từ_xa;dịch_vụ_xe_đưa_đón_miễn_phí;giao_hàng_từ_cửa_hàng_tiện_lợi_gần_đó;không_hút_thuốc;khẩu_trang_bảo_vệ;lớp_học_yoga_mỗi_ngày;massage_chân;medical_services_discount;miễn_phí_internet_không_dây;miễn_phí_thuê_yukata;miễn_phí_đồ_ăn_nhẹ;máy_chạy_bộ;máy_cà_phê_espresso_có_viên_nén;nhiều_cách_nữa_để_thanh_toán_gồm_cả_paypal;phà_đưa_đón_2_chiều;phòng_họp;phòng_tập;phù_hợp_cho_cặp_đôi;quà_tặng_miễn_phí;quầy_bar_mini_miễn_phí;suối_nước_nóng_tắm_riêng;tv_thông_minh_có_ứng_dụng;thiết_bị_wifi_bỏ_túi;thuê_xe_máy;thuê_xe_ô_tô;thuê_xe_đạp;thảm_yoga;tour_tham_quan;trà_chiều;tín_dụng_khách_sạn;voucher_mua_hàng_miễn_thuế;voucher_resort;voucher_ăn_uống;voucher_đồ_uống;vào_hồ_bơi_miễn_phí;vào_phòng_tập_ngoài_trời;vào_phòng_tập_trong_nhà;vé_công_viên_giải_trí;vé_công_viên_nước;wifi_miễn_phí;wifi_cao_cấp_miễn_phí;xe_đạp_thể_dục;xông_hơi_miễn_phí;ăn_chay;ăn_thuần_chay;đón_khách_tại_sân_bay;đưa_ra_sân_bay;đặt_không_cần_thẻ_tín_dụng;đặt_và_trả_tiền_ngay;đồ_dùng_cho_khách_nữ;đồ_uống_không_giới_hạn_có_cồn_cho_2_người;rượu;có_bữa_sáng;giảm_giá_giặt_là;giảm_giá_spa;giảm_giá_thức_ăn_dồ_uống;giặt_là_miễn_phí;không_hoàn_tiền;không_phải_thanh_toán_ngay;liệu_pháp_spa;miễn_phí_hủy;mátxa_chân;nhận_phòng_muộn_sau;nhận_phòng_sớm_từ;phục_vụ_bữa_sáng;trả_phòng_muộn_dến;tín_dụng_nhà_hàng;tín_dụng_spa;tín_dụng_thức_ăn_và_dồ_uống;tín_dụng_dồ_uống;tín_dụng_dỗ_xe;dã_gồm_bữa_sáng;dã_nhập_mã_agoda_sponsored;chiết_khấu_chiến_dịch_thúc_dẩy;đã_kèm_bữa_sáng;đã_kèm_bữa_trưa;đã_kèm_bữa_tối;chính_sách_hủy_tooltip
7;1800000.0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;10;10;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65;0;0;0;0;0;100
7;2160000.0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;10;10;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65;0;0;1;0;0;100
7;1980000.0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;10;10;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65;0;0;1;0;0;100
8;1950000.0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;10;10;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65;0;0;0;0;0;100
8;2310000.0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;10;10;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65;0;0;1;0;0;100
8;2130000.0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;10;10;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65;0;0;1;0;0;100
9;2050000.0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;10;10;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65;0;0;0;0;0;100
9;2410000.0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;10;10;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65;0;0;1;0;0;100
9;2230000.0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;10;10;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65;0;0;1;0;0;100
10;2250000.0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;10;10;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65;0;0;0;0;0;100
10;2610000.0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;10;10;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65;0;0;1;0;0;100
11;557535.0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;10;10;0;10;0;0;0;1;0;0;0;0;0;0;0;0;0;0;65;0;0;1;0;0;40
12;840956.0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;10;10;0;10;0;0;0;1;0;0;0;0;0;0;0;0;0;0;65;0;0;1;0;0;40
12;853616.0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;10;10;0;10;0;0;0;1;0;0;0;0;0;0;0;0;0;0;65;0;0;1;0;0;40
13;929657.0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;10;10;0;10;0;0;0;1;0;0;0;0;0;0;0;0;0;0;65;0;0;1;0;0;40
13;941797.0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;10;10;0;10;0;0;0;1;0;0;0;0;0;0;0;0;0;0;65;0;0;1;0;0;40
14;434262.0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;10;10;0;10;0;0;0;1;0;0;0;0;0;0;0;0;0;0;65;0;0;0;0;0;40
14;745946.0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;10;10;0;10;0;0;0;1;0;0;0;0;0;0;0;0;0;0;65;0;0;0;0;0;40
15;494856.0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;10;10;0;10;0;0;0;1;0;0;0;0;0;0;0;0;0;0;65;0;0;0;0;0;40
16;494856.0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;10;10;0;10;0;0;0;1;0;0;0;0;0;0;0;0;0;0;65;0;0;0;0;0;40
17;581065.0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;10;10;0;10;0;0;0;1;0;0;0;0;0;0;0;0;0;0;65;0;0;0;0;0;40
18;741882.0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;10;10;0;10;0;0;0;1;0;0;0;0;0;0;0;0;0;0;65;0;0;0;0;0;40
19;794595.0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;10;10;0;10;0;0;0;1;0;0;0;0;0;0;0;0;0;0;65;0;0;0;0;0;40
20;810811.0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;10;10;0;10;0;0;0;1;0;0;0;0;0;0;0;0;0;0;65;0;0;0;0;0;40
21;891892.0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;10;10;0;10;0;0;0;1;0;0;0;0;0;0;0;0;0;0;65;0;0;0;0;0;40
22;1135136.0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;10;10;0;10;0;0;0;1;0;0;0;0;0;0;0;0;0;0;65;0;0;0;0;0;40
23;335629.0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;0;10;0;1;0;1;0;0;0;0;0;0;0;0;0;0;65;0;0;0;0;0;40
23;388889.0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;10;10;0;10;0;0;0;1;0;0;0;0;0;0;0;0;0;0;65;0;0;0;0;0;40
24;468343.0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;0;10;0;1;0;1;0;0;0;0;0;0;0;0;0;0;65;0;0;0;0;0;40
25;703704.0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;10;10;0;10;0;0;0;1;0;0;0;0;0;0;0;0;0;0;65;0;0;0;0;0;40
26;703829.0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;0;10;0;1;0;1;0;0;0;0;0;0;0;0;0;0;65;0;0;0;0;0;40
27;261977.0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;10;10;0;10;0;0;0;1;0;0;0;0;0;0;0;0;0;0;65;0;0;0;0;0;40
27;284832.0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;10;10;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65;0;0;0;0;0;100
27;335097.0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;10;10;0;10;0;0;0;1;0;0;0;0;0;0;0;0;0;0;65;0;0;0;0;0;40
28;277193.0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;10;10;0;10;0;0;0;1;0;0;0;0;0;0;0;0;0;0;65;0;0;0;0;0;40
28;286631.0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;10;10;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65;0;0;0;0;0;100
28;337213.0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;10;10;0;10;0;0;0;1;0;0;0;0;0;0;0;0;0;0;65;0;0;0;0;0;40
29;284151.0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;10;10;0;10;0;0;0;1;0;0;0;0;0;0;0;0;0;0;65;0;0;0;0;0;40
29;293827.0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;10;10;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65;0;0;0;0;0;100
29;345679.0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;10;10;0;10;0;0;0;1;0;0;0;0;0;0;0;0;0;0;65;0;0;0;0;0;40
30;376653.0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;10;10;0;10;0;0;0;1;0;0;0;0;0;0;0;0;0;0;65;0;0;0;0;0;40
30;382575.0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;10;10;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65;0;0;0;0;0;100
30;450088.0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;10;10;0;10;0;0;0;1;0;0;0;0;0;0;0;0;0;0;65;0;0;0;0;0;40
31;392593.0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;10;10;0;10;0;0;0;1;0;0;0;0;0;0;0;0;0;0;65;0;0;0;0;0;40
31;398765.0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;10;10;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65;0;0;0;0;0;100
31;469136.0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;10;10;0;10;0;0;0;1;0;0;0;0;0;0;0;0;0;0;65;0;0;0;0;0;40
32;1769306.0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;10;10;0;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;65;0;0;1;0;0;40
33;1769306.0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;10;10;0;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;65;0;0;1;0;0;40
34;1847428.0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;10;10;0;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;65;0;0;0;0;0;40
34;2033053.0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;10;10;0;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;65;0;0;1;0;0;40
34;2082836.0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;10;10;0;10;0;0;0;1;0;0;0;0;0;0;0;0;0;0;65;0;0;0;0;0;40
34;2160996.0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;10;10;0;10;0;0;0;1;0;0;0;0;0;0;0;0;0;0;65;0;0;1;0;0;40
