,room_type_id,large_double_bed,large_bed,single_bed,sofa_bed,double_bed,small_double_bed,king_size_bed,futon_mattress,bunk_bed,extra_long_bed,flexibility_score,sqm,bathroom_count,is_private_bathroom,views_str,views,balcony-terrace_str,balcony-terrace,non-smoking-room,closet,air_conditioning,mini_bar,blackout_curtains,hair_dryer,extra-long-beds,complimentary-bottled-water,bathtub,shower,separate-shower-and-tub,refrigerator,high-floor,dressing-room,ground-floor,private-pool,executive-lounge-access,top-floor,complimentary-instant-coffee,jacuzzi-bathtub,smoking-allowed,electric-blanket,free-welcome-drink,low-floor,complimentary-tea,coffee-tea-maker,air-bath-access,hot-spring-access,bedroom_str,bedroom_count,wifi_str,confirmation-instant_str,confirmation-instant
3756,6735,0,1,0,0,0,0,0,0,0,0,1,30.0,1,0,Hướng Ngoài trời,ngoai troi,Ban công/sân hiên,True,,,,True,True,,True,,,,,,,True,,,,,,,,,,,,,,,,0,,Đồ dùng cho giấc ngủ thoải mái,do dung cho giac ngu thoai mai
3757,6736,0,1,0,0,0,0,0,0,0,0,1,30.0,1,0,Hướng Ngoài trời,ngoai troi,Ban công/sân hiên,True,,,,True,True,,True,,,,,,,True,,,,,,,,,,,,,,,,0,,Đồ dùng cho giấc ngủ thoải mái,do dung cho giac ngu thoai mai
3758,6737,1,0,1,0,0,0,0,0,0,0,1,19.0,1,1,Hướng Núi,nui,Ban công/sân hiên,True,,,True,,,,True,,,,,,,True,,,,,,,,,,,,,,,,0,,Đồ dùng cho giấc ngủ thoải mái,do dung cho giac ngu thoai mai
3759,6738,0,1,0,0,0,0,0,0,0,0,1,19.0,1,1,Hướng Núi,nui,Ban công/sân hiên,True,,,True,,,,True,,,,,,,True,,,,,,,,,,,,,,,,0,,Đồ dùng cho giấc ngủ thoải mái,do dung cho giac ngu thoai mai
3760,6739,0,1,0,0,0,0,0,0,0,0,1,19.0,1,1,Hướng Núi,nui,Ban công/sân hiên,True,,,,,,,True,,,,,,,True,,,,,,,,,,,,,,,,0,,Cửa sổ,cua so
3761,6740,1,0,0,0,0,0,0,0,0,0,1,19.0,1,1,Hướng Núi,nui,Ban công/sân hiên,True,,,True,,,,True,,,,,,,True,,,,,,,,,,,,,,,,0,,Đồ dùng cho giấc ngủ thoải mái,do dung cho giac ngu thoai mai
3762,6741,0,0,1,0,0,0,0,0,0,0,1,15.0,1,0,Hướng Ngoài trời,ngoai troi,Ban công/sân hiên,True,,,,,,,True,,,,,,,True,,,,,,,,,,,,,,,6 phòng ngủ,6,,Đồ dùng cho giấc ngủ thoải mái,do dung cho giac ngu thoai mai
3763,6742,0,1,0,0,0,0,0,0,0,0,1,25.0,1,0,Hướng Ngoài trời,ngoai troi,Ban công/sân hiên,True,True,,True,,,,True,,,,,,,True,,,,,,,,,,,,,,,,0,,Đồ dùng cho giấc ngủ thoải mái,do dung cho giac ngu thoai mai
3764,6743,0,1,0,0,0,0,0,0,0,0,1,30.0,1,0,Hướng Ngoài trời,ngoai troi,Ban công/sân hiên,True,,,True,,,,True,,,,,,,True,,,,,,,,,,,,,,,,0,,Đồ dùng cho giấc ngủ thoải mái,do dung cho giac ngu thoai mai
3765,6744,0,0,0,0,1,0,0,0,0,0,1,16.0,1,1,Hướng Vườn,vuon,Ban công/sân hiên,True,True,,,True,True,,True,,,,,,,,,,,,,,,,,True,,,,,,0,,Đồ dùng cho giấc ngủ thoải mái,do dung cho giac ngu thoai mai
