iter	Passed	Remaining
402	11181	2691
403	11208	2663
404	11235	2635
405	11259	2606
406	11283	2578
407	11310	2550
408	11336	2522
409	11360	2493
410	11389	2466
411	11418	2438
412	11446	2411
413	11472	2383
414	11497	2354
415	11525	2327
416	11555	2300
417	11588	2273
418	11617	2245
419	11645	2218
420	11672	2190
421	11695	2161
422	11727	2134
423	11754	2106
424	11778	2078
425	11803	2050
426	11827	2021
427	11852	1993
428	11878	1965
429	11904	1937
430	11935	1910
431	11961	1882
432	11987	1854
433	12014	1827
434	12041	1799
435	12072	1772
436	12108	1745
437	12140	1718
438	12175	1691
439	12203	1664
440	12236	1637
441	12266	1609
442	12294	1581
443	12323	1554
444	12354	1526
445	12385	1499
446	12412	1471
447	12445	1444
448	12473	1416
449	12503	1389
450	12534	1361
451	12557	1333
452	12581	1305
453	12606	1277
454	12633	1249
455	12663	1221
456	12688	1193
457	12719	1166
458	12747	1138
459	12775	1110
460	12802	1083
461	12831	1055
462	12860	1027
463	12888	999
464	12914	972
465	12942	944
466	12969	916
467	13030	890
468	13064	863
469	13092	835
470	13117	807
471	13146	779
472	13172	751
473	13200	724
474	13227	696
475	13253	668
476	13279	640
477	13307	612
478	13333	584
479	13359	556
480	13384	528
481	13412	500
482	13442	473
483	13471	445
484	13500	417
485	13527	389
486	13555	361
487	13581	333
488	13606	306
489	13631	278
490	13658	250
491	13683	222
492	13710	194
493	13737	166
494	13763	139
495	13787	111
496	13811	83
497	13838	55
498	13864	27
499	13891	0
