iter	Passed	Remaining
402	10568	2543
403	10587	2515
404	10610	2488
405	10633	2462
406	10653	2434
407	10674	2406
408	10698	2380
409	10722	2353
410	10744	2326
411	10768	2300
412	10789	2272
413	10814	2246
414	10838	2219
415	10863	2193
416	10888	2167
417	10911	2140
418	10932	2113
419	10952	2086
420	10980	2060
421	11004	2034
422	11030	2007
423	11052	1981
424	11074	1954
425	11102	1928
426	11129	1902
427	11162	1877
428	11191	1852
429	11218	1826
430	11244	1800
431	11271	1774
432	11296	1747
433	11322	1721
434	11352	1696
435	11384	1671
436	11414	1645
437	11438	1619
438	11465	1593
439	11489	1566
440	11516	1540
441	11541	1514
442	11565	1488
443	11588	1461
444	11613	1435
445	11637	1408
446	11661	1382
447	11684	1356
448	11710	1330
449	11736	1304
450	11764	1278
451	11793	1252
452	11821	1226
453	11851	1200
454	11883	1175
455	11917	1149
456	11945	1123
457	11975	1098
458	12005	1072
459	12032	1046
460	12059	1020
461	12093	994
462	12124	968
463	12153	942
464	12181	916
465	12211	890
466	12240	864
467	12272	839
468	12302	813
469	12335	787
470	12363	761
471	12393	735
472	12421	709
473	12448	682
474	12474	656
475	12498	630
476	12523	603
477	12548	577
478	12574	551
479	12597	524
480	12622	498
481	12647	472
482	12674	446
483	12711	420
484	12750	394
485	12780	368
486	12814	342
487	12843	315
488	12871	289
489	12896	263
490	12928	236
491	12953	210
492	12982	184
493	13008	158
494	13042	131
495	13068	105
496	13090	79
497	13116	52
498	13142	26
499	13168	0
