"hotel_id";"hotel_name";"hotel_address";"room_type_name";"option_name";"option_price";"1 giường lớn";"1 giường lớn & 1 giường lớn";"1 giường lớn & 1 giường sofa";"1 giường lớn & 1 giường đôi";"1 giường lớn hoặc 1 giường lớn và 1 giường đơn";"1 giường lớn hoặc 2 giường đơn";"1 giường lớn hoặc 2 giường đơn & 1 giường lớn hoặc 2 giường đơn";"1 giường lớn và 1 giường sofa";"1 giường lớn và 2 giường đôi";"1 giường lớn và 2 giường đơn";"1 giường siêu lớn";"1 giường siêu lớn & 1 giường siêu lớn";"1 giường tầng và 1 giường lớn";"1 giường đôi";"1 giường đôi & 1 giường đôi";"1 giường đôi hoặc 2 giường đơn";"1 giường đôi lớn";"1 giường đôi lớn & 1 giường đôi";"1 giường đôi lớn & 1 giường đôi lớn";"1 giường đôi lớn và 1 giường đơn";"1 giường đôi và 1 giường đơn";"1 giường đôi và 2 giường đơn";"1 giường đơn";"1 giường đơn & 1 giường siêu lớn";"1 giường đơn và 1 giường đôi lớn";"1 phòng tắm";"2 giường đôi";"2 giường đôi lớn";"2 giường đơn";"2 giường đơn hoặc 1 giường lớn";"2 giường đơn hoặc 1 giường lớn & 2 giường đơn hoặc 1 giường lớn";"2 giường đơn và 1 giường đôi";"2 phòng ngủ";"2 phòng tắm";"3 giường đôi hoặc 2 giường đôi";"3 giường đôi nhỏ";"3 giường đơn";"3 phòng tắm";"Ban công/sân hiên";"Bể bơi riêng";"Bồn tắm";"Bồn tắm/vòi sen riêng";"Cho phép hút thuốc";"Chăn điện";"Cửa sổ";"Cửa sổ mở";"Diện tích phòng: 100 m²";"Diện tích phòng: 150 m²";"Diện tích phòng: 175 m²";"Diện tích phòng: 18 m²";"Diện tích phòng: 180 m²";"Diện tích phòng: 22 m²";"Diện tích phòng: 23 m²";"Diện tích phòng: 24 m²";"Diện tích phòng: 25 m²";"Diện tích phòng: 26 m²";"Diện tích phòng: 28 m²";"Diện tích phòng: 30 m²";"Diện tích phòng: 32 m²";"Diện tích phòng: 33 m²";"Diện tích phòng: 35 m²";"Diện tích phòng: 39 m²";"Diện tích phòng: 40 m²";"Diện tích phòng: 45 m²";"Diện tích phòng: 50 m²";"Diện tích phòng: 55 m²";"Diện tích phòng: 56 m²";"Diện tích phòng: 60 m²";"Giường cực dài";"Hành lang ngoài";"Hướng Biển";"Hướng Hồ";"Hướng Ngoài trời";"Hướng Núi";"Hướng Thành phố";"Hướng Vườn";"Hướng biển (hướng một phần)";"Hướng Đại dương";"Hướng Đại dương (một phần)";"Không hút thuốc";"Lối vào bãi biển riêng";"Máy sấy tóc";"Nước đóng chai miễn phí";"Phòng tắm chung";"Phòng tắm đứng";"Rèm che ánh sáng";"Rượu";"Studio/1 phòng ngủ";"Truy cập Internet - không dây";"Trái cây/đồ ăn vặt";"Tủ lạnh";"Tủ lạnh nhỏ trong phòng";"Tủ quần áo";"Vòi sen";"phòng tắm riêng";"tầng cao";"tầng thượng";"tầng thấp";"Điều hòa";"Điều hòa cá nhân";"Được vào phòng chờ Thương Gia";"Đồ dùng cho giấc ngủ thoải mái";"Đồ gỗ ngoài trời";"Ấm nước điện"
"7710666";"Khách sạn Florida (Florida Hotel)";"66 Quang Trung, Lộc Thọ, Nha Trang, Việt Nam, 650000";"Phòng Đôi hoặc Hai Giường Đơn Loại Sang (Deluxe Double or Twin Room)";"Thông tin sức chứa phòng: 2 người lớn.";"428.762
"64212746";"Swiss-Belvillas Solavita Bình Tiên (Swiss-Belvillas Solavita Binh Tien)";"Khu Du lịch B nh Ti n, X C ng Hải, Tỉnh Kh nh H a, Việt Nam, Vĩnh Hải, Phan Rang – Tháp Chàm (Ninh Thuận), Việt Nam, 650000";"Garden Villa 1 bedroom";"Thông tin sức chứa phòng: 2 người lớn.";"2.464.184
₫";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"64212746";"Swiss-Belvillas Solavita Bình Tiên (Swiss-Belvillas Solavita Binh Tien)";"Khu Du lịch B nh Ti n, X C ng Hải, Tỉnh Kh nh H a, Việt Nam, Vĩnh Hải, Phan Rang – Tháp Chàm (Ninh Thuận), Việt Nam, 650000";"Biệt Thự Vườn 2 Phòng Ngủ (Garden Villa 2 Bedroom)";"Thông tin sức chứa phòng: 2 người lớn.";"3.436.673
₫";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"64212746";"Swiss-Belvillas Solavita Bình Tiên (Swiss-Belvillas Solavita Binh Tien)";"Khu Du lịch B nh Ti n, X C ng Hải, Tỉnh Kh nh H a, Việt Nam, Vĩnh Hải, Phan Rang – Tháp Chàm (Ninh Thuận), Việt Nam, 650000";"Biệt Thự Vườn 2 Phòng Ngủ (Garden Villa 2 Bedroom)";"Thông tin sức chứa phòng: 4 người lớn.";"3.748.165
₫";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"64212746";"Swiss-Belvillas Solavita Bình Tiên (Swiss-Belvillas Solavita Binh Tien)";"Khu Du lịch B nh Ti n, X C ng Hải, Tỉnh Kh nh H a, Việt Nam, Vĩnh Hải, Phan Rang – Tháp Chàm (Ninh Thuận), Việt Nam, 650000";"Biệt Thự Vườn 2 Phòng Ngủ (Garden Villa 2 Bedroom)";"Thông tin sức chứa phòng: 4 người lớn.";"4.351.852
₫";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"64212746";"Swiss-Belvillas Solavita Bình Tiên (Swiss-Belvillas Solavita Binh Tien)";"Khu Du lịch B nh Ti n, X C ng Hải, Tỉnh Kh nh H a, Việt Nam, Vĩnh Hải, Phan Rang – Tháp Chàm (Ninh Thuận), Việt Nam, 650000";"Biệt Thự Hồ 2 Phòng Ngủ (Lake Villa 2 Bedroom)";"Thông tin sức chứa phòng: 4 người lớn.";"4.178.805
₫";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"64212746";"Swiss-Belvillas Solavita Bình Tiên (Swiss-Belvillas Solavita Binh Tien)";"Khu Du lịch B nh Ti n, X C ng Hải, Tỉnh Kh nh H a, Việt Nam, Vĩnh Hải, Phan Rang – Tháp Chàm (Ninh Thuận), Việt Nam, 650000";"Biệt Thự Hồ 2 Phòng Ngủ (Lake Villa 2 Bedroom)";"Thông tin sức chứa phòng: 4 người lớn.";"4.851.852
₫";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"64212746";"Swiss-Belvillas Solavita Bình Tiên (Swiss-Belvillas Solavita Binh Tien)";"Khu Du lịch B nh Ti n, X C ng Hải, Tỉnh Kh nh H a, Việt Nam, Vĩnh Hải, Phan Rang – Tháp Chàm (Ninh Thuận), Việt Nam, 650000";"Biệt Thự Vườn 3 Phòng Ngủ (Garden Villa 3 Bedroom)";"Thông tin sức chứa phòng: 6 người lớn.";"5.151.733
₫";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"64212746";"Swiss-Belvillas Solavita Bình Tiên (Swiss-Belvillas Solavita Binh Tien)";"Khu Du lịch B nh Ti n, X C ng Hải, Tỉnh Kh nh H a, Việt Nam, Vĩnh Hải, Phan Rang – Tháp Chàm (Ninh Thuận), Việt Nam, 650000";"Biệt Thự Vườn 3 Phòng Ngủ (Garden Villa 3 Bedroom)";"Thông tin sức chứa phòng: 4 người lớn.";"5.981.481
₫";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"64212746";"Swiss-Belvillas Solavita Bình Tiên (Swiss-Belvillas Solavita Binh Tien)";"Khu Du lịch B nh Ti n, X C ng Hải, Tỉnh Kh nh H a, Việt Nam, Vĩnh Hải, Phan Rang – Tháp Chàm (Ninh Thuận), Việt Nam, 650000";"Biệt Thự Hồ 3 Phòng Ngủ (Lake Villa 3 Bedroom)";"Thông tin sức chứa phòng: 6 người lớn.";"5.580.847
₫";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"64212746";"Swiss-Belvillas Solavita Bình Tiên (Swiss-Belvillas Solavita Binh Tien)";"Khu Du lịch B nh Ti n, X C ng Hải, Tỉnh Kh nh H a, Việt Nam, Vĩnh Hải, Phan Rang – Tháp Chàm (Ninh Thuận), Việt Nam, 650000";"Biệt Thự Hồ 3 Phòng Ngủ (Lake Villa 3 Bedroom)";"Thông tin sức chứa phòng: 6 người lớn.";"6.481.481
₫";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
