"hotel_id";"hotel_name";"hotel_address";"room_type_name";"option_name";"option_price";"1 giường lớn";"1 giường lớn và 1 giường đôi / 1 giường đôi và 1 giường lớn / 1 giường lớn / 1 nệm futon và 1 giường sofa";"1 giường đôi";"1 giường đôi / 1 giường đôi";"1 giường đôi lớn";"1 giường đôi lớn / 1 giường đôi lớn / 1 giường đôi lớn / 1 giường đơn / 2 nệm futon";"1 giường đôi lớn / 1 giường đơn / 6 giường đơn";"1 giường đôi và 1 giường đôi lớn";"1 giường đơn";"1 giường đơn / 1 giường đơn / 1 giường đơn / 1 giường đơn / 1 giường đơn / 1 giường đơn";"1 giường đơn / 1 nệm futon";"1 giường đơn / 2 giường sofa / 1 giường đôi / 1 giường đôi / 1 giường đôi";"1 giường đơn và 1 giường đôi lớn";"1 nệm futon";"1 nệm futon và 2 giường lớn / 1 nệm futon và 2 giường lớn / 1 nệm futon và 2 giường đôi lớn / 1 nệm futon và 1 giường sofa";"1 nệm futon và 2 giường lớn / 2 giường đôi lớn và 1 nệm futon / 1 giường sofa / 2 giường lớn và 1 nệm futon";"1 phòng tắm";"100 m²";"11 m²";"12 m²";"15 m²";"16 m²";"18 m²";"2 giường lớn";"2 giường đôi";"2 giường đôi lớn";"2 giường đôi lớn và 9 giường đơn";"2 phòng ngủ";"2 phòng tắm";"20 m²";"22 m²";"24 m²";"25 m²";"28 m²";"3 phòng ngủ";"30 m²";"300 m²";"35 m²";"4 giường đôi";"4 m²";"4 nệm futon";"4 phòng ngủ";"4 phòng tắm";"40 m²";"45 m²";"50 m²";"500 m²";"6 m²";"6 phòng ngủ";"6 phòng tắm";"8 giường tầng";"Ban công/sân hiên";"Bồn tắm";"Bồn tắm tạo sóng";"Bồn tắm/vòi sen riêng";"Cho phép hút thuốc";"Cà phê hòa tan miễn phí";"Cửa sổ có thể mở ra";"Cửa sổ mở";"Hành lang ngoài";"Hướng Hồ";"Hướng Ngoài trời";"Hướng Núi";"Hướng Sân trong";"Hướng Thành phố";"Hướng Vườn";"Không hút thuốc";"Máy sấy tóc";"Nước đóng chai miễn phí";"Phòng tắm chung";"Phòng tắm đứng";"Quạt";"Rèm che ánh sáng";"Studio/1 phòng ngủ";"Sưởi";"Truy cập Internet - không dây";"Trà miễn phí";"Trái cây/đồ ăn vặt";"Tối đa 1 người lớn";"Tối đa 10 người lớn";"Tối đa 12 người lớn";"Tối đa 12 người lớn, 1 bé (0-7 tuổi) ở MIỄN PHÍ!";"Tối đa 2 người lớn";"Tối đa 2 người lớn, 1 bé (0-12 tuổi) ở MIỄN PHÍ!";"Tối đa 2 người lớn, 1 bé (0-5 tuổi) ở MIỄN PHÍ!";"Tối đa 2 người lớn, 1 bé (0-6 tuổi) ở MIỄN PHÍ!";"Tối đa 2 người lớn, 1 bé (1-12 tuổi) ở MIỄN PHÍ!";"Tối đa 2 người lớn, 2 bé (0-5 tuổi) ở MIỄN PHÍ!";"Tối đa 3 người lớn";"Tối đa 3 người lớn, 1 bé (0-12 tuổi) ở MIỄN PHÍ!";"Tối đa 3 người lớn, 1 bé (0-6 tuổi) ở MIỄN PHÍ!";"Tối đa 4 người lớn";"Tối đa 4 người lớn, 1 bé (0-1 tuổi) ở MIỄN PHÍ!";"Tối đa 4 người lớn, 1 bé (0-5 tuổi) ở MIỄN PHÍ!";"Tối đa 4 người lớn, 2 bé (1-12 tuổi) ở MIỄN PHÍ!";"Tối đa 4 người lớn, 4 bé (0-7 tuổi) ở MIỄN PHÍ!";"Tối đa 5 người lớn";"Tối đa 6 người lớn";"Tối đa 8 người lớn";"Tủ lạnh";"Tủ lạnh nhỏ trong phòng";"Tủ quần áo";"Vòi sen";"Wi-Fi [miễn phí]";"phòng tắm riêng";"tầng trệt";"Điều hòa";"Điều hòa cá nhân";"Đồ dùng cho giấc ngủ thoải mái";"Đồ gỗ ngoài trời";"Đồ uống mời khách miễn phí";"Ấm nước";"Ấm nước điện"
"4656903";"Hapyson Hotel";"52 Pham The Hien , Huyện Long Khánh, Huyện Long Khánh, Việt Nam, 81000";"Deluxe giường đơn Có ban công (Deluxe Single Balcony)";"2 người lớn & 2 trẻ em (0-5 tuổi)";"384.737";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"1";"0";"1";"0";"0";"0";"1"
"4656903";"Hapyson Hotel";"52 Pham The Hien , Huyện Long Khánh, Huyện Long Khánh, Việt Nam, 81000";"Deluxe giường đơn Có ban công (Deluxe Single Balcony)";"2 người lớn";"439.815";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"1";"0";"1";"0";"0";"0";"1"
"4656903";"Hapyson Hotel";"52 Pham The Hien , Huyện Long Khánh, Huyện Long Khánh, Việt Nam, 81000";"Deluxe giường đơn Có ban công (Deluxe Single Balcony)";"2 người lớn & 2 trẻ em (0-5 tuổi)";"523.808";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"1";"0";"1";"0";"0";"0";"1"
"45903330";"Green Ville Hotel Đồng Nai (Green Ville Hotel Đong Nai)";"Bệnh Viện Dầu Giây, Trung Tâm Hành Chính ,Quốc Lộ 20 Thống Nhất, Thống Nhất, Ấp Nguyễn Thái Học, Việt Nam";"Phòng Đôi (Double Room)";"2 người lớn & 1 trẻ em (0-6 tuổi)";"248.889";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"1"
"45903330";"Green Ville Hotel Đồng Nai (Green Ville Hotel Đong Nai)";"Bệnh Viện Dầu Giây, Trung Tâm Hành Chính ,Quốc Lộ 20 Thống Nhất, Thống Nhất, Ấp Nguyễn Thái Học, Việt Nam";"Phòng Hai Giường Đơn (Twin Room)";"2 người lớn & 1 trẻ em (0-6 tuổi)";"269.630";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"1"
"45903330";"Green Ville Hotel Đồng Nai (Green Ville Hotel Đong Nai)";"Bệnh Viện Dầu Giây, Trung Tâm Hành Chính ,Quốc Lộ 20 Thống Nhất, Thống Nhất, Ấp Nguyễn Thái Học, Việt Nam";"Phòng Ba Người (Triple Room)";"3 người lớn & 1 trẻ em (0-6 tuổi)";"300.741";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"1"
"69125357";"Khu nghỉ dưỡng Vịnh Bốn Mùa - 4 Seasons (Vịnh Bốn Mùa - 4 Seasons Resort )";"Ấp Mít Nài, La Ngà, VỊNH BỐN MÙA - 4 Seasons Resort, Gia Tân 2, Xã Gia Tân, Việt Nam";"Phòng Tiêu Chuẩn (Standard Room)";"2 người lớn";"306.871";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0"
"69125357";"Khu nghỉ dưỡng Vịnh Bốn Mùa - 4 Seasons (Vịnh Bốn Mùa - 4 Seasons Resort )";"Ấp Mít Nài, La Ngà, VỊNH BỐN MÙA - 4 Seasons Resort, Gia Tân 2, Xã Gia Tân, Việt Nam";"Phòng Tiêu Chuẩn (Standard Room)";"2 người lớn";"555.556";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0"
"69125357";"Khu nghỉ dưỡng Vịnh Bốn Mùa - 4 Seasons (Vịnh Bốn Mùa - 4 Seasons Resort )";"Ấp Mít Nài, La Ngà, VỊNH BỐN MÙA - 4 Seasons Resort, Gia Tân 2, Xã Gia Tân, Việt Nam";"Bungalow Deluxe (Deluxe Bungalow)";"4 người lớn & 1 trẻ em (0-1 tuổi)";"537.724";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"39634025";"Bến Hồ Homestay (Ben Ho Homestay)";"Ấp Dốc Mơ 3, cuối đường Thánh Tâm, huyện Thống Nhất, tỉnh Đồng Nai, Gia Tân 2, Xã Gia Tân, Việt Nam";"Phòng Tiêu Chuẩn Giường Đôi Với Phòng Tắm Chung (Standard Double Room with Shared Bathroom)";"2 người lớn";"511.778";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1"
