"hotel_id";"hotel_name";"hotel_address";"room_type_name";"option_name";"option_price";"1 giường lớn";"1 giường siêu lớn";"1 giường siêu lớn / 1 giường siêu lớn";"1 giường đôi";"1 giường đôi / 1 giường đôi";"1 giường đôi / 1 giường đôi / 1 giường đôi / 1 giường đôi lớn / 1 giường đôi";"1 giường đôi lớn";"1 giường đôi lớn và 1 giường lớn";"1 giường đôi và 1 giường đôi lớn";"1 giường đơn";"1 giường đơn và 1 giường đôi";"1 phòng tắm";"140 m²";"15 m²";"150 m²";"16 m²";"18 m²";"19 m²";"2 giường lớn";"2 giường đôi";"2 giường đôi lớn";"2 giường đơn";"2 giường đơn hoặc 1 giường lớn";"2 giường đơn hoặc 1 giường đôi";"2 giường đơn và 1 giường đôi";"2 phòng ngủ";"2 phòng tắm";"20 m²";"22 m²";"25 m²";"28 m²";"30 m²";"32 m²";"36 m²";"38 m²";"40 m²";"42 m²";"45 m²";"48 m²";"5 phòng ngủ";"5 phòng tắm";"50 m²";"55 m²";"56 m²";"72 m²";"Ban công/sân hiên";"Bể bơi riêng";"Bồn tắm";"Bồn tắm tạo sóng";"Cho phép hút thuốc";"Cà phê hòa tan miễn phí";"Cửa sổ";"Cửa sổ mở";"Hướng Hồ";"Hướng Ngoài trời";"Hướng Sông";"Hướng Thiên nhiên";"Hướng Thành phố";"Hướng Vườn";"Hướng Đường phố";"Internet mạng LAN trong phòng [miễn phí]";"Không hút thuốc";"Máy pha trà/cà phê";"Máy sấy tóc";"Nước đóng chai miễn phí";"Phòng thay đồ";"Phòng tắm chung";"Phòng tắm đứng";"Rèm che ánh sáng";"Studio/1 phòng ngủ";"Trà miễn phí";"Trái cây/đồ ăn vặt";"Tối đa 2 người lớn";"Tối đa 2 người lớn, 1 bé (0-1 tuổi) ở MIỄN PHÍ!";"Tối đa 2 người lớn, 1 bé (0-6 tuổi) ở MIỄN PHÍ!";"Tối đa 3 người lớn";"Tối đa 4 người lớn";"Tối đa 4 người lớn, 2 bé (0-6 tuổi) ở MIỄN PHÍ!";"Tối đa 5 người lớn";"Tủ lạnh";"Tủ lạnh nhỏ trong phòng";"Tủ quần áo";"Vòi sen";"Wi-Fi [miễn phí]";"phòng tắm riêng";"tầng trệt";"Điều hòa";"Điều hòa cá nhân";"Được vào phòng chờ Thương Gia";"Đồ dùng cho giấc ngủ thoải mái";"Đồ gỗ ngoài trời";"Ấm nước điện"
"37648014";"Khu nghỉ dưỡng sinh thái Cần Thơ (Cantho Eco Resort)";"Km7+, 61C National Highway, Nhon Thuan Hamlet, Nhon Ai Commune, Can Tho City, Phong Điền, Cần Thơ, Việt Nam, 94000";"Phòng Deluxe Nhìn ra Khu vườn (Deluxe Garden View)";"2 người lớn";"915.301";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"1";"0";"0";"0";"0";"0"
"37648014";"Khu nghỉ dưỡng sinh thái Cần Thơ (Cantho Eco Resort)";"Km7+, 61C National Highway, Nhon Thuan Hamlet, Nhon Ai Commune, Can Tho City, Phong Điền, Cần Thơ, Việt Nam, 94000";"Phòng Gia Đình Hướng Vườn Sinh Thái (Eco Garden View Family Room)";"2 người lớn";"1.105.080";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"1";"0";"1";"0";"0";"0";"0";"0"
"14695806";"Ecolodge Cần Thơ (Can Tho Ecolodge)";"542, Area No.3, Ba Lang Ward, Cai Rang District , Phong Điền, Cần Thơ, Việt Nam, 94952";"Phòng Superior Giường Đôi/2 Giường Đơn (Superior Double or Twin Room)";"2 người lớn";"1.846.071";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"14695806";"Ecolodge Cần Thơ (Can Tho Ecolodge)";"542, Area No.3, Ba Lang Ward, Cai Rang District , Phong Điền, Cần Thơ, Việt Nam, 94952";"Junior Deluxe";"2 người lớn";"1.923.519";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"1";"1";"0";"1"
"32991276";"Khu nghỉ dưỡng sinh thái Cantho (Cantho Eco Resort)";"Cantho Eco Resort, Phong Điền, Cần Thơ, Việt Nam";"Phòng Deluxe Nhìn ra Khu vườn (Deluxe Garden View)";"2 người lớn";"1.244.833";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"32991276";"Khu nghỉ dưỡng sinh thái Cantho (Cantho Eco Resort)";"Cantho Eco Resort, Phong Điền, Cần Thơ, Việt Nam";"Phòng Loại Sang Hướng Vườn Hoặc Bể Bơi (Deluxe Garden or Pool View Room)";"2 người lớn";"1.273.038";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"1";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0"
"32991276";"Khu nghỉ dưỡng sinh thái Cantho (Cantho Eco Resort)";"Cantho Eco Resort, Phong Điền, Cần Thơ, Việt Nam";"Phòng Loại Sang Hướng Vườn Hoặc Bể Bơi (Deluxe Garden or Pool View Room)";"2 người lớn & 1 trẻ em (0-5 tuổi)";"1.340.388";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"1";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0"
"40356842";"Gò Chanh Homestay (Go Chanh Homestay)";"Đường tỉnh 925, Cái Răng, Cần Thơ, Việt Nam";"Bungalow Nhìn ra vườn (Bungalow with Garden View)";"2 người lớn";"337.500";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"1";"0";"1";"0";"0";"1";"0";"1"
"71170895";"Khu nghỉ dưỡng sinh thái Phi Yến Cần Thơ (Phi Yen Eco Resort Can Tho)";"090 ĐT923, Ấp Nhơn Lộc 1; Thị trấn Phong Điền, Phi Yến Eco Resort, Phong Điền, Cần Thơ, Việt Nam, 94500";"Deluxe 3 người (Triple Deluxe)";"3 người lớn";"1.416.667";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"1"
"71170895";"Khu nghỉ dưỡng sinh thái Phi Yến Cần Thơ (Phi Yen Eco Resort Can Tho)";"090 ĐT923, Ấp Nhơn Lộc 1; Thị trấn Phong Điền, Phi Yến Eco Resort, Phong Điền, Cần Thơ, Việt Nam, 94500";"Deluxe gia đình (Family Deluxe)";"4 người lớn";"1.625.000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"1"
