"hotel_id";"hotel_name";"hotel_address";"room_type_name";"option_name";"option_price";"1 giường lớn";"1 giường lớn / 1 giường sofa";"1 giường đôi";"1 giường đôi / 1 giường lớn / 1 giường đôi / 1 giường đôi lớn / 1 giường sofa và 2 nệm futon";"1 giường đôi lớn";"1 giường đôi lớn / 1 giường đôi lớn";"1 giường đôi lớn và 2 nệm futon";"1 giường đơn";"1 giường đơn và 1 giường đôi";"1 phòng tắm";"12 m²";"120 m²";"130 m²";"14 m²";"16 m²";"18 m²";"2 giường lớn";"2 giường đôi";"2 giường đôi / 2 giường đôi / 2 giường đôi lớn / 2 giường đôi lớn / 1 giường đơn";"2 giường đôi lớn";"2 giường đôi lớn / 2 giường đôi lớn / 2 giường đôi lớn";"2 giường đơn";"2 phòng ngủ";"2 phòng tắm";"20 m²";"21 m²";"22 m²";"24 m²";"25 m²";"3 phòng ngủ";"3 phòng tắm";"30 m²";"32 m²";"36 m²";"4 phòng ngủ";"4000 m²";"5 phòng ngủ";"5 phòng tắm";"50 m²";"62 m²";"80 m²";"Ban công/sân hiên";"Bồn tắm/vòi sen riêng";"Cho phép hút thuốc";"Chăn điện";"Cà phê hòa tan miễn phí";"Cửa sổ";"Giường cực dài";"Hành lang ngoài";"Hướng Hồ";"Hướng Không có cửa sổ";"Hướng Ngoài trời";"Hướng Núi";"Hướng Sông";"Hướng Thành phố";"Hướng Vườn";"Hướng Đường phố";"Không hút thuốc";"Máy pha trà/cà phê";"Máy sấy tóc";"Nước đóng chai miễn phí";"Phòng tắm chung";"Phòng tắm đứng";"Rèm che ánh sáng";"Rượu";"Studio/1 phòng ngủ";"Trà miễn phí";"Tối đa 10 người lớn";"Tối đa 2 người lớn";"Tối đa 2 người lớn, 1 bé (0-12 tuổi) ở MIỄN PHÍ!";"Tối đa 2 người lớn, 1 bé (0-5 tuổi) ở MIỄN PHÍ!";"Tối đa 2 người lớn, 1 bé (0-6 tuổi) ở MIỄN PHÍ!";"Tối đa 3 người lớn";"Tối đa 3 người lớn, 1 bé (0-5 tuổi) ở MIỄN PHÍ!";"Tối đa 4 người lớn";"Tối đa 4 người lớn, 1 bé (0-6 tuổi) ở MIỄN PHÍ!";"Tối đa 7 người lớn";"Tối đa 8 người lớn";"Tủ lạnh";"Tủ lạnh nhỏ trong phòng";"Tủ quần áo";"Vòi sen";"Wi-Fi [miễn phí]";"phòng tắm riêng";"tầng trệt";"Điều hòa";"Điều hòa cá nhân";"Được vào phòng chờ Thương Gia";"Đồ dùng cho giấc ngủ thoải mái";"Đồ gỗ ngoài trời";"Ấm nước";"Ấm nước điện"
"34187919";"Tà Đùng May Farm";"Thôn 4, xã Đắk Som, huyện Đắk Glong, Đắk Nông, Tà Đùng May Farm, Gia Nghĩa, Gia Nghĩa (Đắk Nông), Việt Nam";"Cottage Tiêu chuẩn (Standard Cottage)";"2 người lớn";"648.148";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0"
"34187919";"Tà Đùng May Farm";"Thôn 4, xã Đắk Som, huyện Đắk Glong, Đắk Nông, Tà Đùng May Farm, Gia Nghĩa, Gia Nghĩa (Đắk Nông), Việt Nam";"Phòng Loại Sang (Deluxe)";"2 người lớn";"648.148";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"1";"1";"0";"1"
"34187919";"Tà Đùng May Farm";"Thôn 4, xã Đắk Som, huyện Đắk Glong, Đắk Nông, Tà Đùng May Farm, Gia Nghĩa, Gia Nghĩa (Đắk Nông), Việt Nam";"Bungalow Deluxe (Deluxe Bungalow)";"2 người lớn";"925.926";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0"
"77278074";"Suoi Xanh Garden";"5 Nghia Trung, Gia Nghĩa, Gia Nghĩa (Đắk Nông), Việt Nam";"Phòng Giường Đôi Nhìn Ra Hồ Nước (Double Room with Lake View)";"2 người lớn";"316.667";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"1"
"77278074";"Suoi Xanh Garden";"5 Nghia Trung, Gia Nghĩa, Gia Nghĩa (Đắk Nông), Việt Nam";"Phòng Giường Đôi Nhìn Ra Hồ Nước (Double Room with Lake View)";"1 người lớn Vượt quá sức chứa phòng";"270.370";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"1"
"16067151";"Khách sạn Hòa Yến (Hoa Yen Hotel)";"157-159 Ton Duc Thang - To 7 - Phuong Nghia Thanh, Gia Nghĩa, Gia Nghĩa (Đắk Nông), Việt Nam, 65000";"Phòng Đơn (New Single Room)";"2 người lớn & 1 trẻ em (0-12 tuổi)";"269.270";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"16067151";"Khách sạn Hòa Yến (Hoa Yen Hotel)";"157-159 Ton Duc Thang - To 7 - Phuong Nghia Thanh, Gia Nghĩa, Gia Nghĩa (Đắk Nông), Việt Nam, 65000";"Phòng Đôi (Double Room)";"2 người lớn & 1 trẻ em (0-12 tuổi)";"324.365";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"64523861";"Khu nghỉ dưỡng & Glamping Higg Farm (Higg Farm Resort & Glamping)";"Ward 4, Dak Song District, Gia Nghĩa, Gia Nghĩa (Đắk Nông), Việt Nam, 640000";"Phòng Đôi (Double Room)";"2 người lớn";"356.033";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1"
"64523861";"Khu nghỉ dưỡng & Glamping Higg Farm (Higg Farm Resort & Glamping)";"Ward 4, Dak Song District, Gia Nghĩa, Gia Nghĩa (Đắk Nông), Việt Nam, 640000";"Phòng Đôi (Double Room)";"2 người lớn";"390.625";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1"
"64523861";"Khu nghỉ dưỡng & Glamping Higg Farm (Higg Farm Resort & Glamping)";"Ward 4, Dak Song District, Gia Nghĩa, Gia Nghĩa (Đắk Nông), Việt Nam, 640000";"Phòng cổ điển giường đôi hoặc 2 giường (Classic Double or Twin)";"2 người lớn";"418.373";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
