iter	RMSE
399	3206694.943
400	3206633.74
401	3206620.8
402	3201834.498
403	3201823.803
404	3199786.844
405	3199350.718
406	3199091.822
407	3198502.352
408	3195944.217
409	3191912.89
410	3167465.236
411	3166874.319
412	3166034.472
413	3165812.711
414	3165604.266
415	3161882.81
416	3161435.208
417	3157935.863
418	3153869.537
419	3153857.321
420	3153560.619
421	3150378.714
422	3147389.357
423	3144578.24
424	3133039.804
425	3109501.008
426	3108801.929
427	3108626.276
428	3107328.495
429	3095651.952
430	3094731.176
431	3094003.728
432	3090713.023
433	3090437.532
434	3089426.631
435	3089414.543
436	3088987.178
437	3088828.358
438	3088614.169
439	3087935.255
440	3087068.885
441	3087056.556
442	3083961.181
443	3083565.472
444	3083557.2
445	3080650.959
446	3079539.179
447	3079528.526
448	3079384.465
449	3079084.809
450	3076345.179
451	3073769.934
452	3071348.739
453	3071341.256
454	3071119.64
455	3068846.612
456	3068809.632
457	3068800.174
458	3066662.974
459	3065964.473
460	3065486.668
461	3063472.698
462	3061579.119
463	3061570.091
464	3061564.059
465	3061557.976
466	3060830.936
467	3052761.513
468	3052700.176
469	3050996.161
470	3049393.45
471	3047517.81
472	3047509.373
473	3030772.12
474	3030079.856
475	3029999.757
476	3028543.542
477	3005998.015
478	2984224.519
479	2984147.106
480	2962803.079
481	2961552.689
482	2960087.081
483	2959782.687
484	2958600.313
485	2958045.597
486	2957586.55
487	2957241.488
488	2957209.083
489	2956936.142
490	2956906.126
491	2936046.265
492	2935454.794
493	2934365.062
494	2934336.18
495	2926606.237
496	2926537.336
497	2925918.819
498	2925807.411
499	2924918.463
