iter	Passed	Remaining
403	9358	2223
404	9379	2200
405	9399	2176
406	9420	2152
407	9442	2129
408	9463	2105
409	9485	2082
410	9506	2058
411	9528	2035
412	9550	2011
413	9572	1988
414	9593	1964
415	9614	1941
416	9636	1918
417	9656	1894
418	9675	1870
419	9697	1847
420	9721	1824
421	9742	1800
422	9764	1777
423	9785	1754
424	9807	1730
425	9827	1707
426	9852	1684
427	9876	1661
428	9899	1638
429	9922	1615
430	9944	1592
431	9964	1568
432	9983	1544
433	10005	1521
434	10026	1498
435	10046	1474
436	10066	1451
437	10087	1427
438	10108	1404
439	10130	1381
440	10152	1358
441	10177	1335
442	10198	1312
443	10218	1288
444	10240	1265
445	10260	1242
446	10284	1219
447	10304	1196
448	10324	1172
449	10345	1149
450	10365	1126
451	10386	1103
452	10405	1079
453	10424	1056
454	10450	1033
455	10474	1010
456	10496	987
457	10519	964
458	10543	941
459	10568	918
460	10594	896
461	10618	873
462	10646	850
463	10668	827
464	10695	805
465	10720	782
466	10745	759
467	10771	736
468	10798	713
469	10823	690
470	10847	667
471	10872	644
472	10898	622
473	10931	599
474	10952	576
475	10973	553
476	10997	530
477	11018	507
478	11040	484
479	11058	460
480	11077	437
481	11095	414
482	11114	391
483	11136	368
484	11156	345
485	11177	321
486	11197	298
487	11219	275
488	11241	252
489	11262	229
490	11282	206
491	11301	183
492	11321	160
493	11340	137
494	11358	114
495	11379	91
496	11400	68
497	11420	45
498	11456	22
499	11478	0
