room_type_id,large_double_bed,large_bed,single_bed,sofa_bed,double_bed,small_double_bed,king_size_bed,futon_mattress,bunk_bed,flexibility_score,sqm,bathroom_count,is_private_bathroom,views,balcony-terrace,closet,air_conditioning,hair_dryer,complimentary-bottled-water,bathtub,shower,refrigerator,high-floor,dressing-room,ground-floor,private-pool,top-floor,complimentary-instant-coffee,electric-blanket,free-welcome-drink,low-floor,complimentary-tea,coffee-tea-maker,hot-spring-access,bedroom_count,price_option_price,adults_number,children_number,bãi_đậu_xe,phòng_tập,wifi_miễn_phí,không_hoàn_tiền,miễn_phí_hủy,vào_hồ_bơi_miễn_phí,đã_kèm_bữa_sáng,hotel_id,room_room_type_name,hotel_name,hotel_address,region
7.0,1,1,1,1,1,1,1,1,1,1.0,54.0,1.0,1,city,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,2160000.0,2.0,0.0,1,1,1,1,1,1,1,5808626.0,One Bedroom Deluxe,Citadines Central Bình Dương (Citadines Central Binh Duong),"Số 328C, Đại lộ B nh Dương, Khu phố Hưng Lộc, Phường Hưng Định, Th nh phố Thuận An, Tỉnh B nh Dương, Việt Nam, Thuận An, Bình Dương, Việt Nam, 820000",Bình Dương
7.0,1,1,1,1,1,1,1,1,1,1.0,54.0,1.0,1,city,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,1980000.0000000002,1.0,0.0,1,1,1,1,1,1,1,5808626.0,One Bedroom Deluxe,Citadines Central Bình Dương (Citadines Central Binh Duong),"Số 328C, Đại lộ B nh Dương, Khu phố Hưng Lộc, Phường Hưng Định, Th nh phố Thuận An, Tỉnh B nh Dương, Việt Nam, Thuận An, Bình Dương, Việt Nam, 820000",Bình Dương
8.0,1,1,1,1,1,1,1,1,1,1.0,60.0,1.0,1,city,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,1950000.0,2.0,0.0,1,1,1,1,1,1,1,5808626.0,Phòng Thương Gia Một Phòng Ngủ (One Bedroom Executive),Citadines Central Bình Dương (Citadines Central Binh Duong),"Số 328C, Đại lộ B nh Dương, Khu phố Hưng Lộc, Phường Hưng Định, Th nh phố Thuận An, Tỉnh B nh Dương, Việt Nam, Thuận An, Bình Dương, Việt Nam, 820000",Bình Dương
8.0,1,1,1,1,1,1,1,1,1,1.0,60.0,1.0,1,city,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,2310000.0,2.0,0.0,1,1,1,1,1,1,1,5808626.0,Phòng Thương Gia Một Phòng Ngủ (One Bedroom Executive),Citadines Central Bình Dương (Citadines Central Binh Duong),"Số 328C, Đại lộ B nh Dương, Khu phố Hưng Lộc, Phường Hưng Định, Th nh phố Thuận An, Tỉnh B nh Dương, Việt Nam, Thuận An, Bình Dương, Việt Nam, 820000",Bình Dương
8.0,1,1,1,1,1,1,1,1,1,1.0,60.0,1.0,1,city,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,2130000.0,1.0,0.0,1,1,1,1,1,1,1,5808626.0,Phòng Thương Gia Một Phòng Ngủ (One Bedroom Executive),Citadines Central Bình Dương (Citadines Central Binh Duong),"Số 328C, Đại lộ B nh Dương, Khu phố Hưng Lộc, Phường Hưng Định, Th nh phố Thuận An, Tỉnh B nh Dương, Việt Nam, Thuận An, Bình Dương, Việt Nam, 820000",Bình Dương
9.0,1,1,1,1,1,1,1,1,1,1.0,63.00000000000001,1.0,1,city,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,2050000.0,2.0,0.0,1,1,1,1,1,1,1,5808626.0,One Bedroom Premier,Citadines Central Bình Dương (Citadines Central Binh Duong),"Số 328C, Đại lộ B nh Dương, Khu phố Hưng Lộc, Phường Hưng Định, Th nh phố Thuận An, Tỉnh B nh Dương, Việt Nam, Thuận An, Bình Dương, Việt Nam, 820000",Bình Dương
9.0,1,1,1,1,1,1,1,1,1,1.0,63.00000000000001,1.0,1,city,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,2410000.0,2.0,0.0,1,1,1,1,1,1,1,5808626.0,One Bedroom Premier,Citadines Central Bình Dương (Citadines Central Binh Duong),"Số 328C, Đại lộ B nh Dương, Khu phố Hưng Lộc, Phường Hưng Định, Th nh phố Thuận An, Tỉnh B nh Dương, Việt Nam, Thuận An, Bình Dương, Việt Nam, 820000",Bình Dương
9.0,1,1,1,1,1,1,1,1,1,1.0,63.00000000000001,1.0,1,city,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,2230000.0,1.0,0.0,1,1,1,1,1,1,1,5808626.0,One Bedroom Premier,Citadines Central Bình Dương (Citadines Central Binh Duong),"Số 328C, Đại lộ B nh Dương, Khu phố Hưng Lộc, Phường Hưng Định, Th nh phố Thuận An, Tỉnh B nh Dương, Việt Nam, Thuận An, Bình Dương, Việt Nam, 820000",Bình Dương
10.0,1,1,1,1,1,1,1,1,1,2.0,71.0,2.0,1,city,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,2250000.0,4.0,0.0,1,1,1,1,1,1,1,5808626.0,Hai Phòng Ngủ Thương Gia (Two Bedroom Executive),Citadines Central Bình Dương (Citadines Central Binh Duong),"Số 328C, Đại lộ B nh Dương, Khu phố Hưng Lộc, Phường Hưng Định, Th nh phố Thuận An, Tỉnh B nh Dương, Việt Nam, Thuận An, Bình Dương, Việt Nam, 820000",Bình Dương
10.0,1,1,1,1,1,1,1,1,1,2.0,71.0,2.0,1,city,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,2610000.0,2.0,0.0,1,1,1,1,1,1,1,5808626.0,Hai Phòng Ngủ Thương Gia (Two Bedroom Executive),Citadines Central Bình Dương (Citadines Central Binh Duong),"Số 328C, Đại lộ B nh Dương, Khu phố Hưng Lộc, Phường Hưng Định, Th nh phố Thuận An, Tỉnh B nh Dương, Việt Nam, Thuận An, Bình Dương, Việt Nam, 820000",Bình Dương
11.0,1,1,1,1,1,1,1,1,1,1.0,21.0,0.0,1,no view,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,557535.0,2.0,0.0,1,1,1,1,1,1,1,10613675.000000002,Phòng Tiêu Chuẩn - Giường Đôi (Standard - Double),KHÁCH SẠN DIAMOND (DIAMOND HOTEL),"153 Hoang Van Thu Street, Thủ Dầu Một, Bình Dương, Việt Nam, 821779",Bình Dương
12.0,1,1,1,1,1,1,1,1,1,1.0,32.0,0.0,1,city,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,840956.0,2.0,0.0,1,1,1,1,1,1,1,10613675.000000002,Phòng Executive (Executive Room),KHÁCH SẠN DIAMOND (DIAMOND HOTEL),"153 Hoang Van Thu Street, Thủ Dầu Một, Bình Dương, Việt Nam, 821779",Bình Dương
12.0,1,1,1,1,1,1,1,1,1,1.0,32.0,0.0,1,city,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,853616.0,2.0,0.0,1,1,1,1,1,1,1,10613675.000000002,Phòng Executive (Executive Room),KHÁCH SẠN DIAMOND (DIAMOND HOTEL),"153 Hoang Van Thu Street, Thủ Dầu Một, Bình Dương, Việt Nam, 821779",Bình Dương
13.0,1,1,1,1,1,1,1,1,1,1.0,25.0,0.0,1,no view,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,929657.0,3.0,0.0,1,1,1,1,1,1,1,10613675.000000002,Phòng Superior 3 Người (Superior Triple),KHÁCH SẠN DIAMOND (DIAMOND HOTEL),"153 Hoang Van Thu Street, Thủ Dầu Một, Bình Dương, Việt Nam, 821779",Bình Dương
13.0,1,1,1,1,1,1,1,1,1,1.0,25.0,0.0,1,no view,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,941797.0,3.0,0.0,1,1,1,1,1,1,1,10613675.000000002,Phòng Superior 3 Người (Superior Triple),KHÁCH SẠN DIAMOND (DIAMOND HOTEL),"153 Hoang Van Thu Street, Thủ Dầu Một, Bình Dương, Việt Nam, 821779",Bình Dương
14.0,1,1,1,1,1,1,1,1,1,1.0,20.0,1.0,1,city,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,434262.0,2.0,0.0,1,1,1,1,1,1,1,78191120.0,Giường Lớn Cao Cấp (Superior King),Khách sạn FELIZ – Executive Stay (FELIZ Hotel – Executive Stay),"80 Đ. D8, Chánh Nghĩa, Thủ Dầu Một, Bình Dương, Thủ Dầu Một, Bình Dương, Việt Nam",Bình Dương
14.0,1,1,1,1,1,1,1,1,1,1.0,20.0,1.0,1,city,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,745946.0,2.0,0.0,1,1,1,1,1,1,1,78191120.0,Giường Lớn Cao Cấp (Superior King),Khách sạn FELIZ – Executive Stay (FELIZ Hotel – Executive Stay),"80 Đ. D8, Chánh Nghĩa, Thủ Dầu Một, Bình Dương, Thủ Dầu Một, Bình Dương, Việt Nam",Bình Dương
15.0,1,1,1,1,1,1,1,1,1,1.0,20.0,0.0,1,city,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,494856.0,2.0,0.0,1,1,1,1,1,1,1,78191120.0,Superior 2 giường (Superior Twin),Khách sạn FELIZ – Executive Stay (FELIZ Hotel – Executive Stay),"80 Đ. D8, Chánh Nghĩa, Thủ Dầu Một, Bình Dương, Thủ Dầu Một, Bình Dương, Việt Nam",Bình Dương
16.0,1,1,1,1,1,1,1,1,1,1.0,30.0,0.0,1,city,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,494856.0,2.0,0.0,1,1,1,1,1,1,1,78191120.0,Deluxe hướng thành phố (Deluxe City View),Khách sạn FELIZ – Executive Stay (FELIZ Hotel – Executive Stay),"80 Đ. D8, Chánh Nghĩa, Thủ Dầu Một, Bình Dương, Thủ Dầu Một, Bình Dương, Việt Nam",Bình Dương
