room_type_id,large_double_bed,large_bed,single_bed,sofa_bed,double_bed,small_double_bed,king_size_bed,futon_mattress,bunk_bed,flexibility_score,sqm,bathroom_count,is_private_bathroom,views,balcony-terrace,closet,air_conditioning,hair_dryer,complimentary-bottled-water,bathtub,shower,refrigerator,high-floor,dressing-room,ground-floor,private-pool,top-floor,complimentary-instant-coffee,electric-blanket,free-welcome-drink,low-floor,complimentary-tea,coffee-tea-maker,hot-spring-access,bedroom_count
26,0,0,1,0,0,0,0,0,0,1,25.0,0,1,no view,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,1,0,0,0,0,1,12.0,1,1,city,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
28,1,0,0,0,0,0,0,0,0,1,18.0,0,1,city,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
29,0,0,0,0,1,0,0,0,0,1,18.0,1,1,city,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1,0,0,0,0,0,0,0,0,1,22.0,1,1,city,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1,0,0,0,0,0,0,0,0,1,35.0,1,1,city,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,1,0,0,0,0,0,0,0,1,26.0,1,1,city,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,1,0,0,0,0,0,0,1,26.0,1,1,city,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,1,0,0,0,0,0,0,1,38.0,1,1,city,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,1,0,0,0,0,0,0,0,1,38.0,0,1,city,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,1,0,0,0,0,0,0,1,38.0,1,1,city,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,1,0,0,0,0,0,0,0,1,50.0,1,1,city,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,1,0,0,0,0,0,0,0,1,,0,1,no view,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,1,0,0,0,0,0,0,0,1,50.0,1,1,city,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,1,0,0,0,0,1,30.0,0,1,no view,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,1,0,0,0,0,1,33.0,1,1,city,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
44,1,0,0,0,0,0,0,0,0,1,33.0,0,1,city,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
45,0,1,0,0,0,0,0,0,0,1,43.0,1,1,city,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,1,0,1,0,0,0,0,2,30.0,1,1,no view,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
47,1,0,0,0,0,0,0,0,0,1,40.0,1,1,city,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
48,1,0,0,0,0,0,0,0,0,1,54.0,0,1,pool,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
49,0,0,1,0,0,0,0,0,0,1,54.0,0,1,pool,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
50,0,1,0,0,0,0,0,0,0,1,54.0,1,1,nature,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,1,0,0,0,0,0,0,0,1,70.0,0,1,city,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,1,0,0,0,0,0,0,0,1,52.0,1,1,city,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
53,0,1,0,0,0,0,0,0,0,1,62.0,1,1,city,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
54,0,1,0,0,0,0,0,0,0,1,78.0,2,1,city,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
