,room_type_id,large_double_bed,large_bed,single_bed,sofa_bed,double_bed,small_double_bed,king_size_bed,futon_mattress,bunk_bed,flexibility_score,sqm,bathroom_count,is_private_bathroom,views,balcony-terrace,non-smoking-room,closet,air_conditioning,mini_bar,hair_dryer,complimentary-bottled-water,bathtub,shower,separate-shower-and-tub,refrigerator,high-floor,dressing-room,ground-floor,private-pool,executive-lounge-access,top-floor,complimentary-instant-coffee,jacuzzi-bathtub,smoking-allowed,electric-blanket,free-welcome-drink,low-floor,complimentary-tea,coffee-tea-maker,hot-spring-access,bedroom_count,confirmation-instant
38,40,0,1,0,0,0,0,0,0,0,1,50.0,1,1,thanh pho,True,True,,,True,,,,,True,,,,,,,,,,,,,,,,,0,
39,42,0,0,0,0,1,0,0,0,0,1,30.0,0,1,khong co cua so,,True,,,,,,,,True,,True,,,,,,,,,,,,,,,0,cua so
40,43,0,0,0,0,1,0,0,0,0,1,33.0,1,1,thanh pho,,True,,,,,,,,,,True,,,,,,,,,,,,,,,0,cua so
41,44,1,0,0,0,0,0,0,0,0,1,33.0,0,1,thanh pho,,True,,,,,,,,,,True,,,,,,,True,,,,,,,,0,cua so
42,45,0,1,0,0,0,0,0,0,0,1,43.0,1,1,thanh pho,,True,,,,,,,,,,True,,,,,,,,,,,,,,,0,cua so
43,46,0,0,1,0,1,0,0,0,0,2,30.0,1,1,,,True,,True,True,,True,,,,,,,,,,,,,,,,,,,,0,cua so
44,47,1,0,0,0,0,0,0,0,0,1,40.0,1,1,thanh pho,,,,,True,,,True,,,,,,,,,,,,,,,,,,,0,cua so
45,48,1,0,0,0,0,0,0,0,0,1,54.0,0,1,be boi,,True,,,True,,,True,,,,,,,,,,,,,,,,,,True,0,cua so
46,49,0,0,1,0,0,0,0,0,0,1,54.0,0,1,be boi,,True,,,True,,,True,,,,,,,,,,,,,,,,,,True,0,cua so
47,50,0,1,0,0,0,0,0,0,0,1,54.0,1,1,ngoai troi,,True,True,True,,,,True,,,,,,,,,,,,,,,,,,,0,do dung cho giac ngu thoai mai
48,51,0,1,0,0,0,0,0,0,0,1,70.0,0,1,thanh pho,,True,,True,True,,,True,,,,,,,,,,,,,,,,,,,0,cua so
49,52,0,1,0,0,0,0,0,0,0,1,52.0,1,1,thanh pho,True,True,,,,,,,,,,True,,,,,,,,,,,,,,,0,hanh lang ngoai
50,53,0,1,0,0,0,0,0,0,0,1,62.0,1,1,thanh pho,True,True,,,,,,,,,,,,,,,,,,,,,,,,,2,do dung cho giac ngu thoai mai
51,54,0,1,0,0,0,0,0,0,0,1,78.0,2,1,thanh pho,True,True,,,,,,,,,,,,,,,True,,,,,,,,,,2,hanh lang ngoai
52,55,0,1,0,0,0,0,0,0,0,1,34.0,0,1,nong thon,,,True,True,,,,,,,,,,,,,,,,,,,,True,,,0,ruou
53,56,0,0,1,0,0,0,0,0,0,1,34.0,1,1,nong thon,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,0,
54,57,0,0,1,0,0,0,0,0,0,1,34.0,0,1,vuon,,,,True,True,True,,,,,,,,,,,,,,,,,,,,,0,cua so
55,58,0,1,0,0,0,0,0,0,0,1,40.0,1,1,thanh pho,,,True,,True,,,,,True,,,,,,,,,,,,,,,,,0,cua so
56,59,1,0,0,0,0,0,0,0,0,1,40.0,1,1,ngoai troi,,True,,,,,,,,True,,,,,,,,,,,,,,,,,0,ruou
57,60,0,0,1,0,0,0,0,0,0,1,40.0,0,1,thanh pho,,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,0,cua so
58,61,0,1,0,0,0,0,0,0,0,1,45.0,0,1,thanh pho,,,True,True,True,True,,True,,,,,,,,,,True,,,,,,,,,0,
59,62,0,1,0,0,0,0,0,0,0,1,45.0,0,1,thanh pho,,,True,True,,,,True,,,,,,,,,,,,,,,,,,,0,ruou
60,63,1,0,0,0,0,0,0,0,0,1,34.0,0,1,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,0,
61,64,0,1,0,0,0,0,0,0,0,1,78.0,0,1,thanh pho,True,,True,,True,,,,,True,,,,,,,,,,,,,,,,,0,cua so
62,65,1,0,0,1,0,0,0,0,0,1,78.0,1,1,ngoai troi,,,True,True,True,,,True,,,True,,,,,,,,,,,,,,,,0,am nuoc dien
63,66,0,0,0,0,0,0,0,0,0,1,,0,1,,,,,,,,,True,,,,,,,,,,,,,,,,,,,0,
64,67,0,1,0,0,0,0,0,0,0,1,26.0,1,1,thanh pho,,True,,,True,,,,,,,,,,True,,,,,,,,,,,,0,do dung cho giac ngu thoai mai
65,68,0,0,0,0,0,0,0,0,0,1,17.0,0,1,,,True,,True,,,,,,,,,,,,,,,,,,,,,,,0,
66,69,0,0,0,0,0,0,0,0,0,1,25.0,3,1,,,,True,True,,True,,,,,,,,,,,,True,,,,,,,,,0,
67,70,0,0,0,0,1,0,0,0,0,1,41.0,0,1,thanh pho,,True,,,,,,,,,,,,,,,,,,,,,,,,,0,cua so
68,71,1,0,0,0,0,0,0,0,0,1,25.0,1,1,,,,,True,,,,True,True,,,,,,,,,,,,,,,,,,0,
69,72,1,0,0,0,0,0,0,0,0,1,32.0,1,1,thanh pho,True,True,,,True,,,True,,,,,,,,,,,,,,,,,,,0,cua so
70,73,0,0,1,0,0,0,0,0,0,1,22.0,1,1,thanh pho,,True,,,,,,,,True,,,,,,,,,,,,,,,,,0,cua so co the mo ra
71,74,0,1,0,0,0,0,0,0,0,1,22.0,1,1,thanh pho,,True,,,,,,,,True,,,,,,,,,,,,,,,,,0,cua so
72,75,0,1,0,0,0,0,0,0,0,1,33.0,1,1,thanh pho,,True,,,,,,,,True,,,,,,,,,,,,,,,,,0,cua so co the mo ra
73,76,0,1,0,0,0,0,0,0,0,1,33.0,1,1,thanh pho,,True,,,,,,,,True,,,,,,,,,,,,,,,,,0,cua so co the mo ra
74,77,0,0,1,0,0,0,0,0,0,1,33.0,1,1,thanh pho,True,True,,,,,,,,True,,,,,,,,,,,,,,,,,0,cua so co the mo ra
75,78,0,1,0,0,0,0,0,0,0,1,33.0,1,1,thanh pho,True,True,,,,,,,,True,,,,,,,,,,,,,,,,,0,cua so co the mo ra
76,79,0,1,0,0,0,0,0,0,0,1,26.0,0,1,san trong,True,True,,,True,,,,,,,,,,,,True,,,,,,,,,,0,hanh lang ngoai
77,80,1,0,0,0,0,0,0,0,0,1,35.0,0,1,,True,True,,True,,,,,True,,,,,,,,,,,,,,,,,,0,am nuoc dien
78,81,0,0,1,0,0,0,0,0,0,1,35.0,1,1,duong pho,True,True,,,True,,,,,True,,,,,,,,,,,,,,,,,0,hanh lang ngoai
79,82,1,0,0,0,0,0,0,0,0,1,35.0,1,1,vuon,True,,True,,,,True,,,,,,,,,,,,,,,,,,,,0,do dung cho giac ngu thoai mai
80,83,0,1,0,0,0,0,0,0,0,1,35.0,0,1,vuon,True,True,,,True,,,,,,,,,,,,True,,,,,,,,,,0,hanh lang ngoai
81,84,0,0,0,0,0,0,0,0,0,1,35.0,1,1,thanh pho,True,True,,,True,,,,,True,,,,,,,,,,,,,,,,,0,hanh lang ngoai
82,85,1,0,0,0,0,0,0,0,0,1,35.0,1,1,vuon,True,,True,,,,True,,,,,,,,,,,,True,,,,,,,,0,do dung cho giac ngu thoai mai
83,86,0,0,0,0,1,0,0,0,0,1,20.0,1,1,,,True,,True,True,,,,,,,,True,,,,,,,,,,,,,,0,
84,87,0,0,1,0,0,0,0,0,0,1,28.0,1,0,thanh pho,,True,True,,True,,,,,,,,,,,,,,,,,,,,,,0,cua so
85,88,0,0,0,0,1,0,0,0,0,1,28.0,0,1,,,True,True,True,True,,True,,,,True,,,,,,,,,,,,,,,,0,
86,89,0,0,1,0,0,0,0,0,0,1,30.0,1,1,,,True,True,True,True,,,,,,,True,,,,,,,,,,,,,,,0,
87,90,0,1,0,0,0,0,0,0,0,1,35.0,1,0,thanh pho,True,True,,,True,,,,,,,,,,,,,,,,,,,,,,0,do go ngoai troi
88,91,0,1,0,0,0,0,0,0,0,1,40.0,1,1,thanh pho,True,,,,True,,,,,,,True,,,,,,,,,,,,,,,0,cua so
89,92,0,1,0,0,0,0,0,0,0,1,50.0,1,1,ngoai troi,True,,True,True,,,True,,,,,,,,,,,,,True,,,,,,,0,do dung cho giac ngu thoai mai
90,93,0,1,0,0,0,0,0,0,0,1,70.0,2,1,ngoai troi,True,,True,True,,,,,,,,,,,,,,,,True,,,,,,,0,do dung cho giac ngu thoai mai
91,94,1,0,0,0,0,0,0,0,0,1,25.0,1,1,thanh pho,,,,,,,,True,,,,True,,,,,,,,,,,,,,,0,trai cay/do an vat
92,95,1,0,0,0,0,1,0,0,0,1,75.0,2,1,thanh pho,,,,,,,,,,,,True,,,,,,,,,,,,,,,3,trai cay/do an vat
93,96,0,1,0,0,0,0,0,0,0,1,32.0,0,1,thanh pho,True,True,,,,,,,,,,,,,,,,,,,,,,,,,0,phong xong kho
94,97,0,1,0,0,0,0,0,0,0,1,40.0,0,1,ngoai troi,True,True,,,,,,,,,,,,,,,,,,,,,,,,,0,phong xong kho
95,98,0,1,0,0,0,0,0,0,0,1,32.0,0,1,thanh pho,True,True,,,,,,,,,,,,,,,,,,,,,,,,,0,phong xong kho
96,99,0,1,0,0,0,0,0,0,0,1,45.0,0,1,thanh pho,True,True,,,,,,,,,,,,,,,,,,,,,,,,,0,phong xong kho
97,100,0,0,1,0,0,0,0,0,0,1,45.0,1,1,thanh pho,True,,True,,,,,,,,,,,,,,,,,,,,,,,,0,ruou
98,101,0,0,1,0,0,0,0,0,0,1,66.0,1,1,thanh pho,True,,,,,,,,,,,,,,,,,,,True,,,,,,,0,ruou
99,102,1,1,0,0,0,0,0,0,0,2,25.0,1,1,ngoai troi,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,0,do dung cho giac ngu thoai mai
100,103,0,1,0,0,0,0,0,0,0,1,45.0,1,1,ngoai troi,,,True,True,True,,,True,,,,,,,,,,,,,,,,,,,0,am nuoc dien
101,104,1,0,0,0,0,0,0,0,0,1,25.0,1,1,vuon,True,True,,,,,,,,,,,,True,,,,,,,,,,,,,0,do dung cho giac ngu thoai mai
102,105,0,0,0,0,1,0,0,0,0,1,20.0,1,1,vuon,True,,True,,True,,,,,,,,,,,,True,,,,,,,,,,0,
103,106,1,0,0,0,0,0,0,0,0,1,26.0,0,1,thanh pho,,,True,,,,,,,,,,,,,,True,,,,,,,,,,0,cua so co the mo ra
104,107,1,0,0,0,0,0,0,0,0,1,28.0,1,1,thanh pho,,True,,,True,,,,,,,True,,,,,,,,,,,,,,,0,cua so
105,108,0,0,0,0,1,0,0,0,0,1,25.0,1,1,,,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,0,am nuoc dien
106,109,0,0,0,0,1,0,0,0,0,1,20.0,1,1,,,,True,True,,,,,True,,,,,,,,,,,,,,,,,,0,am nuoc dien
107,110,1,0,0,0,0,0,0,0,0,1,12.0,1,1,,,,True,True,,,,,True,,,,,,,,,,,,,,,,,,0,
108,111,1,0,0,0,0,0,0,0,0,1,20.0,1,1,vuon,True,,True,True,,,,,True,,,,,,,,,,,,,,,,,,0,
109,112,1,0,1,0,0,0,0,0,0,1,30.0,1,1,vuon,True,,True,True,,True,,,True,,,,,,,,,,,,,,,,,,0,am nuoc dien
110,113,0,0,1,0,0,0,0,0,0,1,10.0,1,1,,,,True,True,,,,,True,,,,,,,,,,,,,,,,,,0,
111,114,1,0,0,0,0,0,0,0,0,1,18.0,0,1,,,,True,True,,True,True,,True,,True,,,,,,,,,,,,,,,,0,do dung cho giac ngu thoai mai
112,115,1,0,0,0,0,0,0,0,0,1,24.0,0,1,,,,True,True,,True,True,,True,,True,,,,,,,,,,,,,,,,0,do dung cho giac ngu thoai mai
113,116,1,0,1,0,0,0,0,0,0,1,30.0,0,1,,,,True,True,,True,True,,True,,True,,,,,,,,,,,,,,,,0,do dung cho giac ngu thoai mai
114,117,1,0,1,0,0,0,0,0,0,1,30.0,0,1,ngoai troi,True,,True,True,,,True,,,,,,,,,,,,,,,,,,,,0,do dung cho giac ngu thoai mai
115,118,0,1,0,0,0,0,0,0,0,1,40.0,1,1,ngoai troi,True,,True,True,,,True,,,,,,,,,,,,,,,,,,,,0,do dung cho giac ngu thoai mai
116,119,1,0,0,0,0,0,0,0,0,1,34.0,0,1,,,,True,True,,,True,,,,True,,,,,,,,,,,,,,,,0,do dung cho giac ngu thoai mai
117,120,0,0,0,0,0,0,0,0,0,1,30.0,1,1,thanh pho,,,,,,,,,,,True,,True,,,,,,,,,,,,,,0,dieu hoa ca nhan
118,121,0,0,0,0,1,0,0,0,0,1,40.0,1,1,thanh pho,,,True,,True,,,,,,,True,,,,,,,,,,,,,,,0,cua so
