amenity
Cửa sổ
Cửa sổ có thể mở ra
Cửa sổ mở
Hành lang ngoài
Lối vào bãi biển riêng
Máy cà phê espresso có viên nén (có phí)
Phòng xông khô
Quyền sử dụng spa miễn phí
Quạt
Rượu
Sưởi
Trái cây/đồ ăn vặt
Tối đa 1 người lớn
"Tối đa 3 người lớn, 1 bé (0-14 tuổi) ở MIỄN PHÍ!"
"Tối đa 3 người lớn, 1 bé (0-15 tuổi) ở MIỄN PHÍ!"
"Tối đa 3 người lớn, 1 bé (0-17 tuổi) ở MIỄN PHÍ!"
"Tối đa 3 người lớn, 1 bé (0-2 tuổi) ở MIỄN PHÍ!"
"Tối đa 3 người lớn, 1 bé (0-3 tuổi) ở MIỄN PHÍ!"
"Tối đa 3 người lớn, 1 bé (0-4 tuổi) ở MIỄN PHÍ!"
"Tối đa 3 người lớn, 1 bé (0-5 tuổi) ở MIỄN PHÍ!"
"Tối đa 3 người lớn, 1 bé (0-6 tuổi) ở MIỄN PHÍ!"
"Tối đa 3 người lớn, 1 bé (0-7 tuổi) ở MIỄN PHÍ!"
"Tối đa 3 người lớn, 1 bé (0-9 tuổi) ở MIỄN PHÍ!"
"Tối đa 3 người lớn, 1 bé (1-5 tuổi) ở MIỄN PHÍ!"
"Tối đa 3 người lớn, 2 bé (0-10 tuổi) ở MIỄN PHÍ!"
"Tối đa 3 người lớn, 2 bé (0-11 tuổi) ở MIỄN PHÍ!"
"Tối đa 3 người lớn, 2 bé (0-12 tuổi) ở MIỄN PHÍ!"
"Tối đa 3 người lớn, 2 bé (0-2 tuổi) ở MIỄN PHÍ!"
"Tối đa 3 người lớn, 2 bé (0-5 tuổi) ở MIỄN PHÍ!"
"Tối đa 3 người lớn, 2 bé (0-6 tuổi) ở MIỄN PHÍ!"
"Tối đa 3 người lớn, 2 bé (0-7 tuổi) ở MIỄN PHÍ!"
"Tối đa 3 người lớn, 2 bé (0-9 tuổi) ở MIỄN PHÍ!"
"Tối đa 3 người lớn, 2 bé (1-7 tuổi) ở MIỄN PHÍ!"
"Tối đa 3 người lớn, 3 bé (0-2 tuổi) ở MIỄN PHÍ!"
"Tối đa 3 người lớn, 3 bé (0-5 tuổi) ở MIỄN PHÍ!"
"Tối đa 3 người lớn, 3 bé (0-7 tuổi) ở MIỄN PHÍ!"
"Tối đa 3 người lớn, 3 bé (0-9 tuổi) ở MIỄN PHÍ!"
"Tối đa 3 người lớn, 5 bé (0-7 tuổi) ở MIỄN PHÍ!"
Tối đa 30 người lớn
Tối đa 4 người lớn
"Tối đa 4 người lớn, 1 bé (0-1 tuổi) ở MIỄN PHÍ!"
"Tối đa 4 người lớn, 1 bé (0-10 tuổi) ở MIỄN PHÍ!"
"Tối đa 4 người lớn, 1 bé (0-11 tuổi) ở MIỄN PHÍ!"
"Tối đa 4 người lớn, 1 bé (0-12 tuổi) ở MIỄN PHÍ!"
"Tối đa 4 người lớn, 1 bé (0-16 tuổi) ở MIỄN PHÍ!"
"Tối đa 4 người lớn, 1 bé (0-17 tuổi) ở MIỄN PHÍ!"
"Tối đa 4 người lớn, 1 bé (0-2 tuổi) ở MIỄN PHÍ!"
"Tối đa 4 người lớn, 1 bé (0-3 tuổi) ở MIỄN PHÍ!"
"Tối đa 4 người lớn, 1 bé (0-4 tuổi) ở MIỄN PHÍ!"
"Tối đa 4 người lớn, 1 bé (0-5 tuổi) ở MIỄN PHÍ!"
"Tối đa 4 người lớn, 1 bé (0-6 tuổi) ở MIỄN PHÍ!"
"Tối đa 4 người lớn, 1 bé (0-7 tuổi) ở MIỄN PHÍ!"
"Tối đa 4 người lớn, 1 bé (0-9 tuổi) ở MIỄN PHÍ!"
"Tối đa 4 người lớn, 1 bé (1-11 tuổi) ở MIỄN PHÍ!"
"Tối đa 4 người lớn, 1 bé (6-12 tuổi) ở MIỄN PHÍ!"
"Tối đa 4 người lớn, 2 bé (0-10 tuổi) ở MIỄN PHÍ!"
"Tối đa 4 người lớn, 2 bé (0-11 tuổi) ở MIỄN PHÍ!"
"Tối đa 4 người lớn, 2 bé (0-12 tuổi) ở MIỄN PHÍ!"
"Tối đa 4 người lớn, 2 bé (0-14 tuổi) ở MIỄN PHÍ!"
"Tối đa 4 người lớn, 2 bé (0-17 tuổi) ở MIỄN PHÍ!"
"Tối đa 4 người lớn, 2 bé (0-2 tuổi) ở MIỄN PHÍ!"
"Tối đa 4 người lớn, 2 bé (0-21 tuổi) ở MIỄN PHÍ!"
"Tối đa 4 người lớn, 2 bé (0-3 tuổi) ở MIỄN PHÍ!"
"Tối đa 4 người lớn, 2 bé (0-5 tuổi) ở MIỄN PHÍ!"
"Tối đa 4 người lớn, 2 bé (0-6 tuổi) ở MIỄN PHÍ!"
"Tối đa 4 người lớn, 2 bé (0-7 tuổi) ở MIỄN PHÍ!"
"Tối đa 4 người lớn, 2 bé (0-9 tuổi) ở MIỄN PHÍ!"
"Tối đa 4 người lớn, 2 bé (1-12 tuổi) ở MIỄN PHÍ!"
"Tối đa 4 người lớn, 2 bé (1-6 tuổi) ở MIỄN PHÍ!"
"Tối đa 4 người lớn, 2 bé (1-7 tuổi) ở MIỄN PHÍ!"
"Tối đa 4 người lớn, 3 bé (0-11 tuổi) ở MIỄN PHÍ!"
"Tối đa 4 người lớn, 4 bé (0-15 tuổi) ở MIỄN PHÍ!"
"Tối đa 4 người lớn, 4 bé (0-7 tuổi) ở MIỄN PHÍ!"
Tối đa 5 người lớn
"Tối đa 5 người lớn, 1 bé (0-2 tuổi) ở MIỄN PHÍ!"
"Tối đa 5 người lớn, 1 bé (0-7 tuổi) ở MIỄN PHÍ!"
"Tối đa 5 người lớn, 3 bé (0-11 tuổi) ở MIỄN PHÍ!"
Tối đa 6 người lớn
"Tối đa 6 người lớn, 1 bé (0-10 tuổi) ở MIỄN PHÍ!"
"Tối đa 6 người lớn, 1 bé (0-12 tuổi) ở MIỄN PHÍ!"
"Tối đa 6 người lớn, 1 bé (0-5 tuổi) ở MIỄN PHÍ!"
"Tối đa 6 người lớn, 1 bé (0-7 tuổi) ở MIỄN PHÍ!"
"Tối đa 6 người lớn, 2 bé (1-10 tuổi) ở MIỄN PHÍ!"
"Tối đa 6 người lớn, 3 bé (0-11 tuổi) ở MIỄN PHÍ!"
"Tối đa 6 người lớn, 3 bé (0-5 tuổi) ở MIỄN PHÍ!"
"Tối đa 6 người lớn, 4 bé (0-11 tuổi) ở MIỄN PHÍ!"
"Tối đa 6 người lớn, 4 bé (0-12 tuổi) ở MIỄN PHÍ!"
Tối đa 7 người lớn
Tối đa 8 người lớn
"Tối đa 8 người lớn, 1 bé (0-7 tuổi) ở MIỄN PHÍ!"
"Tối đa 8 người lớn, 4 bé (0-12 tuổi) ở MIỄN PHÍ!"
"Tối đa 8 người lớn, 4 bé (0-5 tuổi) ở MIỄN PHÍ!"
Tối đa 9 người lớn
Đồ dùng cho giấc ngủ thoải mái
Đồ gỗ ngoài trời
Ấm nước
Ấm nước điện
