"hotel_id";"hotel_name";"hotel_address";"room_type_name";"option_name";"option_price";"1 giường lớn và 1 giường sofa";"1 giường đôi";"1 giường đôi lớn";"1 giường đôi và 1 giường đôi lớn";"1 giường đôi và 2 giường đôi lớn";"2 giường đôi";"2 giường đôi lớn";"2 giường đơn";"20 m²";"21 m²";"22 m²";"24 m²";"28 m²";"3 giường đôi và 3 giường đôi lớn";"3 giường đơn";"30 m²";"31 m²";"35 m²";"50 m²";"6 giường đôi lớn";"7 phòng tắm";"Ban công/sân hiên";"Bồn tắm";"Cà phê hòa tan miễn phí";"Cửa sổ";"Cửa sổ có thể mở ra";"Hành lang ngoài";"Hướng Ngoài trời";"Hướng Sông";"Hướng Thành phố";"Hướng Vườn";"Không hút thuốc";"Máy sấy tóc";"Nước đóng chai miễn phí";"Phòng tắm đứng";"Rèm che ánh sáng";"Truy cập Internet - không dây";"Trà miễn phí";"Trái cây/đồ ăn vặt";"Tối đa 2 người lớn";"Tối đa 2 người lớn, 1 bé (0-1 tuổi) ở MIỄN PHÍ!";"Tối đa 2 người lớn, 1 bé (0-5 tuổi) ở MIỄN PHÍ!";"Tối đa 3 người lớn";"Tối đa 3 người lớn, 1 bé (0-5 tuổi) ở MIỄN PHÍ!";"Tối đa 4 người lớn";"Tủ lạnh";"Tủ lạnh nhỏ trong phòng";"Tủ quần áo";"Vòi sen";"Wi-Fi [miễn phí]";"phòng tắm riêng";"tầng trệt";"Điều hòa";"Điều hòa cá nhân";"Được vào phòng chờ Thương Gia";"Đồ dùng cho giấc ngủ thoải mái";"Ấm nước";"Ấm nước điện"
"72803582";"Khách sạn The Rose Trà Vinh (The Rose Hotel Tra Vinh)";"240 Phạm Ngũ Lão, Trà Vinh, Trà Vinh, Việt Nam";"2 Giường Đôi Lớn Thiết Yếu (Essential 2 Queen)";"4 người lớn";"1.181.148";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0"
"72803582";"Khách sạn The Rose Trà Vinh (The Rose Hotel Tra Vinh)";"240 Phạm Ngũ Lão, Trà Vinh, Trà Vinh, Việt Nam";"Suite Có Giường Cỡ King (King Suite)";"2 người lớn";"1.293.446";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"1";"1";"0"
"72803582";"Khách sạn The Rose Trà Vinh (The Rose Hotel Tra Vinh)";"240 Phạm Ngũ Lão, Trà Vinh, Trà Vinh, Việt Nam";"Suite Có Giường Cỡ King (King Suite)";"2 người lớn";"1.314.338";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"1";"1";"0"
"29851223";"Khách sạn Bích Ngoan (BichNgoan Hotel)";"19/22 Duong 19/5, Khom 2, Phuong 1, Trà Vinh, Trà Vinh, Việt Nam, 87000";"Phòng Giường Đôi Nhìn ra Thành phố (Double Room City View)";"2 người lớn";"467.307";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"1";"0";"0";"0";"0";"1";"0";"1"
"29851223";"Khách sạn Bích Ngoan (BichNgoan Hotel)";"19/22 Duong 19/5, Khom 2, Phuong 1, Trà Vinh, Trà Vinh, Việt Nam, 87000";"Phòng Giường Đôi Nhìn ra Thành phố (Double Room City View)";"2 người lớn";"555.556";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"1";"0";"0";"0";"0";"1";"0";"1"
"29851223";"Khách sạn Bích Ngoan (BichNgoan Hotel)";"19/22 Duong 19/5, Khom 2, Phuong 1, Trà Vinh, Trà Vinh, Việt Nam, 87000";"Phòng Tiêu chuẩn 2 Giường Đơn (Standard Twin)";"2 người lớn";"637.116";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"1";"1";"1";"0";"1";"0";"0";"0";"0";"0"
"62559403";"Khách sạn Lucky 2 (Lucky Hotel 2)";"16 Võ Nguyên Giáp, Phường 8, Trà Vinh, Trà Vinh, Việt Nam";"Phòng Đôi (Double Room)";"2 người lớn & 1 trẻ em (0-5 tuổi)";"318.750";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"1";"1";"0";"0";"0";"0";"1";"1";"0"
"62559403";"Khách sạn Lucky 2 (Lucky Hotel 2)";"16 Võ Nguyên Giáp, Phường 8, Trà Vinh, Trà Vinh, Việt Nam";"Phòng Ba Người (Triple Room)";"3 người lớn & 1 trẻ em (0-5 tuổi)";"573.437";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"1";"1";"0";"0";"0";"0";"1";"1";"0"
"62559403";"Khách sạn Lucky 2 (Lucky Hotel 2)";"16 Võ Nguyên Giáp, Phường 8, Trà Vinh, Trà Vinh, Việt Nam";"Phòng Loại Sang Giường Đôi (Deluxe Double Room)";"2 người lớn & 1 trẻ em (0-5 tuổi)";"573.437";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"1";"1";"0";"0";"0";"0";"1";"1";"0"
"626326";"Mekong Garden Bungalows";"Ấp Đon, Nhị Long, Càng Long, Trà Vinh, Trà Vinh, Việt Nam, 90000";"Phòng Đôi Loại Sang (Deluxe Double Room)";"2 người lớn";"1.146.384";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"1"
"626326";"Mekong Garden Bungalows";"Ấp Đon, Nhị Long, Càng Long, Trà Vinh, Trà Vinh, Việt Nam, 90000";"Phòng Hai Giường Đơn Loại Sang (Deluxe Twin Room)";"2 người lớn";"1.146.384";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"1"
"63309215";"Lucky 3 Hotel";"104 Nguyễn Thiện Thành, Trà Vinh, Trà Vinh, Việt Nam, 940000";"Phòng Đôi (Double Room)";"2 người lớn & 1 trẻ em (0-5 tuổi)";"423.426";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"1";"0";"1"
"63309215";"Lucky 3 Hotel";"104 Nguyễn Thiện Thành, Trà Vinh, Trà Vinh, Việt Nam, 940000";"Phòng Đôi Cao Cấp (Superior Double Room)";"2 người lớn & 1 trẻ em (0-5 tuổi)";"513.463";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"1";"0";"1"
"63309215";"Lucky 3 Hotel";"104 Nguyễn Thiện Thành, Trà Vinh, Trà Vinh, Việt Nam, 940000";"Phòng Đôi Loại Sang (Deluxe Double Room)";"2 người lớn & 1 trẻ em (0-5 tuổi)";"577.370";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"1";"0";"1"
