iter	Passed	Remaining
402	13063	3144
403	13096	3112
404	13129	3079
405	13162	3047
406	13203	3017
407	13243	2986
408	13279	2954
409	13332	2926
410	13367	2894
411	13414	2865
412	13468	2837
413	13518	2808
414	13559	2777
415	13601	2746
416	13639	2714
417	13684	2684
418	13750	2658
419	13782	2625
420	13815	2592
421	13843	2558
422	13873	2525
423	13904	2492
424	13942	2460
425	13972	2427
426	14001	2393
427	14028	2360
428	14055	2326
429	14085	2293
430	14116	2260
431	14157	2228
432	14199	2197
433	14232	2164
434	14270	2132
435	14302	2099
436	14329	2065
437	14361	2032
438	14385	1998
439	14423	1966
440	14467	1935
441	14501	1902
442	14531	1869
443	14564	1836
444	14615	1806
445	14659	1774
446	14693	1742
447	14738	1710
448	14779	1678
449	14814	1646
450	14851	1613
451	14887	1580
452	14925	1548
453	14962	1515
454	15011	1484
455	15053	1452
456	15089	1419
457	15125	1387
458	15170	1355
459	15212	1322
460	15264	1291
461	15299	1258
462	15327	1224
463	15358	1191
464	15387	1158
465	15416	1124
466	15445	1091
467	15475	1058
468	15508	1025
469	15542	992
470	15573	958
471	15613	926
472	15653	893
473	15685	860
474	15712	826
475	15744	793
476	15777	760
477	15805	727
478	15843	694
479	15878	661
480	15911	628
481	15943	595
482	15975	562
483	16011	529
484	16048	496
485	16082	463
486	16127	430
487	16170	397
488	16201	364
489	16232	331
490	16272	298
491	16303	265
492	16338	231
493	16376	198
494	16417	165
495	16449	132
496	16490	99
497	16530	66
498	16555	33
499	16584	0
