hotel_id;hotel_name;hotel_address;room_type_name;option_name;option_price;1 giường sofa / 1 giường đôi lớn;1 giường đôi;1 giường đôi / 1 giường đôi / 1 giường đôi / 1 giường đôi / 1 giường đôi;1 giường đôi lớn;1 giường đôi nhỏ / 1 giường đôi nhỏ;1 giường đơn;1 giường đơn / 1 giường đơn / 1 giường đôi / 1 giường đơn / 1 giường đơn / 1 giường đơn / 1 giường đơn;1 nệm futon;1 phòng tắm;100 m²;15 m²;16 m²;2 giường lớn;2 giường đôi hoặc 2 giường đôi;2 giường đôi lớn;2 giường đơn;2 giường đơn hoặc 1 giường lớn;2 phòng tắm;20 m²;200 m²;2000 m²;23 m²;24 m²;25 m²;26 m²;27 m²;28 m²;3 phòng tắm;30 m²;32 m²;33 m²;35 m²;4 m²;5 m²;5 phòng ngủ;5 phòng tắm;6 giường đôi;7 phòng ngủ;7 phòng tắm;80 m²;Ban công/sân hiên;Bồn tắm/vòi sen riêng;Cho phép hút thuốc;Cà phê hòa tan miễn phí;Cửa sổ;Cửa sổ có thể mở ra;Hướng Công viên;Hướng Hồ;Hướng Không có cửa sổ;Hướng Ngoài trời;Hướng Núi;Hướng Thiên nhiên;Hướng Thành phố;Hướng Vườn;Hướng Đường phố;Không hút thuốc;Máy pha trà/cà phê;Máy sấy tóc;Nước đóng chai miễn phí;Phòng tắm chung;Phòng tắm đứng;Rèm che ánh sáng;Studio/1 phòng ngủ;Trà miễn phí;Trái cây/đồ ăn vặt;Tối đa 10 người lớn;Tối đa 12 người lớn;Tối đa 15 người lớn;Tối đa 2 người lớn;Tối đa 2 người lớn, 1 bé (0-11 tuổi) ở MIỄN PHÍ!;Tối đa 2 người lớn, 1 bé (0-12 tuổi) ở MIỄN PHÍ!;Tối đa 2 người lớn, 2 bé (0-6 tuổi) ở MIỄN PHÍ!;Tối đa 4 người lớn;Tủ lạnh;Tủ quần áo;Vòi sen;Wi-Fi [miễn phí];phòng tắm riêng;Điều hòa;Điều hòa cá nhân;Đồ dùng cho giấc ngủ thoải mái;Đồ gỗ ngoài trời;Ấm nước;Ấm nước điện
1622072;Khách sạn Mường Thanh Grand Tuyên Quang (Muong Thanh Grand Tuyen Quang Hotel);207 đường Bình Thuận, phường Tân Quang, thành phố Tuyên Quang, Tuyên Quang, Tuyên Quang, Việt Nam, 300000;Deluxe Twin - 2 Giường Đơn (Deluxe Twin - 2 Single Beds);2 người lớn;1.055.758;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;1;1;1;1;0;0;0;0;1
1622072;Khách sạn Mường Thanh Grand Tuyên Quang (Muong Thanh Grand Tuyen Quang Hotel);207 đường Bình Thuận, phường Tân Quang, thành phố Tuyên Quang, Tuyên Quang, Tuyên Quang, Việt Nam, 300000;Deluxe Twin - 2 Giường Đơn (Deluxe Twin - 2 Single Beds);2 người lớn;1.100.000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;1;1;1;1;0;0;0;0;1
1622072;Khách sạn Mường Thanh Grand Tuyên Quang (Muong Thanh Grand Tuyen Quang Hotel);207 đường Bình Thuận, phường Tân Quang, thành phố Tuyên Quang, Tuyên Quang, Tuyên Quang, Việt Nam, 300000;Deluxe Twin - 2 Giường Đơn (Deluxe Twin - 2 Single Beds);2 người lớn;1.349.019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;1;1;1;1;0;0;0;0;1
1622072;Khách sạn Mường Thanh Grand Tuyên Quang (Muong Thanh Grand Tuyen Quang Hotel);207 đường Bình Thuận, phường Tân Quang, thành phố Tuyên Quang, Tuyên Quang, Tuyên Quang, Việt Nam, 300000;Deluxe Twin - 2 Giường Đơn (Deluxe Twin - 2 Single Beds);2 người lớn;1.523.810;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;1;1;1;1;0;0;0;0;1
1622072;Khách sạn Mường Thanh Grand Tuyên Quang (Muong Thanh Grand Tuyen Quang Hotel);207 đường Bình Thuận, phường Tân Quang, thành phố Tuyên Quang, Tuyên Quang, Tuyên Quang, Việt Nam, 300000;Deluxe giường King (Deluxe King);2 người lớn;1.055.758;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;1;1;1;1;0;0;0;0;1
1622072;Khách sạn Mường Thanh Grand Tuyên Quang (Muong Thanh Grand Tuyen Quang Hotel);207 đường Bình Thuận, phường Tân Quang, thành phố Tuyên Quang, Tuyên Quang, Tuyên Quang, Việt Nam, 300000;Deluxe giường King (Deluxe King);2 người lớn;1.100.000;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;1;1;1;1;0;0;0;0;1
1622072;Khách sạn Mường Thanh Grand Tuyên Quang (Muong Thanh Grand Tuyen Quang Hotel);207 đường Bình Thuận, phường Tân Quang, thành phố Tuyên Quang, Tuyên Quang, Tuyên Quang, Việt Nam, 300000;Deluxe giường King (Deluxe King);2 người lớn;1.349.019;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;1;1;1;1;0;0;0;0;1
1622072;Khách sạn Mường Thanh Grand Tuyên Quang (Muong Thanh Grand Tuyen Quang Hotel);207 đường Bình Thuận, phường Tân Quang, thành phố Tuyên Quang, Tuyên Quang, Tuyên Quang, Việt Nam, 300000;Deluxe giường King (Deluxe King);2 người lớn;1.523.810;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;1;1;1;1;0;0;0;0;1
67791043;Flamingo Heritage Onsen & Resort;Flamingo Tan Trao, Tuyên Quang, Tuyên Quang, Việt Nam, 22000;Phòng Deluxe 2 Giường đơn (Deluxe Twin);2 người lớn;1.029.617;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
67791043;Flamingo Heritage Onsen & Resort;Flamingo Tan Trao, Tuyên Quang, Tuyên Quang, Việt Nam, 22000;Phòng Đôi Deluxe (Deluxe Double);2 người lớn;1.029.617;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
