,room_type_id,bed_str,expanded_bed,large_double_bed,large_bed,single_bed,sofa_bed,double_bed,small_double_bed,king_size_bed,futon_mattress,bunk_bed,extra_long_bed,flexibility_score,sqm,bathroom_count,is_private_bathroom,views_str,views,balcony-terrace,non-smoking-room,closet,air_conditioning,mini_bar,hair_dryer,extra-long-beds,complimentary-bottled-water,bathtub,shower,separate-shower-and-tub,refrigerator,high-floor,dressing-room,ground-floor,private-pool,executive-lounge-access,top-floor,complimentary-instant-coffee,jacuzzi-bathtub,smoking-allowed,electric-blanket,free-welcome-drink,low-floor,complimentary-tea,coffee-tea-maker,hot-spring-access,bedroom_str,bedroom_count,confirmation-instant_str,confirmation-instant
20,21,2 giường đơn,"[{'bed_type': 'giường đơn', 'bed_count': 2}]",0,0,1,0,0,0,0,0,0,0,1,40.0,1,1,Hướng Ngoài trời,ngoai troi,,,True,True,,True,,,True,True,,,,,,,,,,,,,,,,,,,0,Ấm nước điện,am nuoc dien
21,22,1 giường lớn,"[{'bed_type': 'giường lớn', 'bed_count': 1}]",0,1,0,0,0,0,0,0,0,0,1,45.0,1,1,Hướng Ngoài trời,ngoai troi,,,True,True,,True,,,True,True,,,,,,,,,,,,,,,,,,,0,Ấm nước điện,am nuoc dien
22,23,1 giường đôi lớn,"[{'bed_type': 'giường đôi lớn', 'bed_count': 1}]",1,0,0,0,0,0,0,0,0,0,1,18.0,1,1,Hướng Ngoài trời,ngoai troi,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,Đồ dùng cho giấc ngủ thoải mái,do dung cho giac ngu thoai mai
23,24,2 giường đơn,"[{'bed_type': 'giường đơn', 'bed_count': 2}]",0,0,1,0,0,0,0,0,0,0,1,22.0,1,1,Hướng Ngoài trời,ngoai troi,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,Cửa sổ có thể mở ra,cua so co the mo ra
24,25,1 giường sofa & 2 giường đơn,"[{'bed_type': 'giường sofa', 'bed_count': 1}, {'bed_type': 'giường đơn', 'bed_count': 2}]",0,0,1,1,0,0,0,0,0,0,1,45.0,1,1,Hướng Ngoài trời,ngoai troi,,,True,,,,,True,,,,True,,,,,,,,,,,,,,,,,0,Đồ dùng cho giấc ngủ thoải mái,do dung cho giac ngu thoai mai
25,26,2 giường đơn,"[{'bed_type': 'giường đơn', 'bed_count': 2}]",0,0,1,0,0,0,0,0,0,0,1,25.0,0,1,,,,True,True,True,,True,,,,True,,True,,,,,,,,,,,,,,,,,0,Cửa sổ có thể mở ra,cua so co the mo ra
26,27,1 giường đôi,"[{'bed_type': 'giường đôi', 'bed_count': 1}]",0,0,0,0,1,0,0,0,0,0,1,12.0,1,1,Hướng Thành phố,thanh pho,,True,,,,,,,,,,,,,,,,True,,,,,,,,,,,0,Rượu,ruou
27,28,1 giường đôi lớn,"[{'bed_type': 'giường đôi lớn', 'bed_count': 1}]",1,0,0,0,0,0,0,0,0,0,1,18.0,0,1,Hướng Thành phố,thanh pho,,True,,,True,,,,,,True,,,,,,,True,,,,,,,,,,,0,Hành lang ngoài,hanh lang ngoai
28,29,1 giường đôi,"[{'bed_type': 'giường đôi', 'bed_count': 1}]",0,0,0,0,1,0,0,0,0,0,1,18.0,1,1,Hướng Thành phố,thanh pho,,True,,,True,,,,,,True,,,,,,,,,,,,,,,,,,0,Cửa sổ,cua so
29,30,2 giường đôi lớn,"[{'bed_type': 'giường đôi lớn', 'bed_count': 2}]",1,0,0,0,0,0,0,0,0,0,1,22.0,1,1,Hướng Công viên,cong vien,,True,,,,,,,,,True,,,,,,,,,,,,,,,,,,0,Cửa sổ,cua so
