room_type_id,room_amenities,amenity_group
11,"[{'amenity': 'Diện tích phòng: 21 m²', 'type': 'sqm'}, {'amenity': 'Hướng Không có cửa sổ', 'type': 'views'}, {'amenity': '1 giường lớn', 'type': 'bed'}, {'amenity': 'Rèm che ánh sáng', 'type': 'blackout-curtains'}, {'amenity': 'Tủ lạnh nhỏ trong phòng', 'type': 'mini-bar'}, {'amenity': 'Không hút thuốc', 'type': 'non-smoking-room'}, {'amenity': 'Internet mạng LAN trong phòng [miễn phí]', 'type': 'internet'}, {'amenity': 'Tủ quần áo', 'type': 'closet'}, {'amenity': 'Điều hòa', 'type': 'air-conditioning'}, {'amenity': 'Cà phê hòa tan miễn phí', 'type': 'complimentary-instant-coffee'}]",
12,"[{'amenity': 'Diện tích phòng: 32 m²', 'type': 'sqm'}, {'amenity': 'Hướng Đường phố', 'type': 'views'}, {'amenity': '1 giường đôi lớn', 'type': 'bed'}, {'amenity': 'Rèm che ánh sáng', 'type': 'blackout-curtains'}, {'amenity': 'Tủ lạnh nhỏ trong phòng', 'type': 'mini-bar'}, {'amenity': 'tầng cao', 'type': 'high-floor'}, {'amenity': 'Tủ quần áo', 'type': 'closet'}, {'amenity': 'Điều hòa', 'type': 'air-conditioning'}, {'amenity': 'Tủ lạnh', 'type': 'refrigerator'}, {'amenity': 'Máy sấy tóc', 'type': 'hair-dryer'}]",
13,"[{'amenity': 'Diện tích phòng: 25 m²', 'type': 'sqm'}, {'amenity': '1 giường đơn', 'type': 'bed'}, {'amenity': 'Tủ lạnh nhỏ trong phòng', 'type': 'mini-bar'}, {'amenity': 'Cho phép hút thuốc', 'type': 'smoking-allowed'}, {'amenity': 'Tủ quần áo', 'type': 'closet'}, {'amenity': 'Điều hòa', 'type': 'air-conditioning'}, {'amenity': 'Cà phê hòa tan miễn phí', 'type': 'complimentary-instant-coffee'}, {'amenity': 'Tủ lạnh', 'type': 'refrigerator'}, {'amenity': 'Máy sấy tóc', 'type': 'hair-dryer'}, {'amenity': 'Vòi sen', 'type': 'shower'}]",
14,"[{'amenity': 'Diện tích phòng: 20 m²', 'type': 'sqm'}, {'amenity': 'Hướng Thành phố', 'type': 'views'}, {'amenity': '1 giường lớn', 'type': 'bed'}, {'amenity': 'Bồn tắm', 'type': 'bathtub'}, {'amenity': 'Ban công/sân hiên', 'type': 'balcony-terrace'}, {'amenity': 'Cửa sổ mở', 'type': 'NULL'}, {'amenity': 'Tủ lạnh nhỏ trong phòng', 'type': 'mini-bar'}, {'amenity': 'phòng tắm riêng', 'type': 'bathrooms'}, {'amenity': 'Tủ quần áo', 'type': 'closet'}]",
15,"[{'amenity': 'Diện tích phòng: 20 m²', 'type': 'sqm'}, {'amenity': 'Hướng Thành phố', 'type': 'views'}, {'amenity': '2 giường đơn', 'type': 'bed'}, {'amenity': 'Cửa sổ', 'type': 'confirmation-instant'}, {'amenity': 'Tủ lạnh nhỏ trong phòng', 'type': 'mini-bar'}, {'amenity': 'Tủ quần áo', 'type': 'closet'}, {'amenity': 'Điều hòa cá nhân', 'type': 'confirmation-instant'}, {'amenity': 'Cà phê hòa tan miễn phí', 'type': 'complimentary-instant-coffee'}, {'amenity': 'Ấm nước', 'type': 'confirmation-instant'}]",
16,"[{'amenity': 'Diện tích phòng: 30 m²', 'type': 'sqm'}, {'amenity': 'Hướng Thành phố', 'type': 'views'}, {'amenity': '1 giường lớn', 'type': 'bed'}, {'amenity': 'Bồn tắm/vòi sen riêng', 'type': 'separate-shower-and-tub'}, {'amenity': 'Cửa sổ', 'type': 'confirmation-instant'}, {'amenity': 'Tủ lạnh nhỏ trong phòng', 'type': 'mini-bar'}, {'amenity': 'Tủ quần áo', 'type': 'closet'}, {'amenity': 'Điều hòa', 'type': 'air-conditioning'}, {'amenity': 'Cà phê hòa tan miễn phí', 'type': 'complimentary-instant-coffee'}]",
17,"[{'amenity': 'Diện tích phòng: 40 m²', 'type': 'sqm'}, {'amenity': 'Hướng Thành phố', 'type': 'views'}, {'amenity': '2 giường đơn', 'type': 'bed'}, {'amenity': 'Bồn tắm/vòi sen riêng', 'type': 'separate-shower-and-tub'}, {'amenity': 'Cửa sổ có thể mở ra', 'type': 'confirmation-instant'}, {'amenity': 'Tủ lạnh nhỏ trong phòng', 'type': 'mini-bar'}, {'amenity': 'Điều hòa', 'type': 'air-conditioning'}, {'amenity': 'Cà phê hòa tan miễn phí', 'type': 'complimentary-instant-coffee'}, {'amenity': 'Ấm nước', 'type': 'confirmation-instant'}]",
18,"[{'amenity': 'Diện tích phòng: 45 m²', 'type': 'sqm'}, {'amenity': 'Hướng Thành phố', 'type': 'views'}, {'amenity': 'Bồn tắm/vòi sen riêng', 'type': 'separate-shower-and-tub'}, {'amenity': 'Cửa sổ', 'type': 'confirmation-instant'}, {'amenity': 'Tủ lạnh nhỏ trong phòng', 'type': 'mini-bar'}, {'amenity': 'tầng thượng', 'type': 'top-floor'}, {'amenity': 'Điều hòa', 'type': 'air-conditioning'}, {'amenity': 'Cà phê hòa tan miễn phí', 'type': 'complimentary-instant-coffee'}, {'amenity': 'Ấm nước', 'type': 'confirmation-instant'}]",
19,"[{'amenity': 'Diện tích phòng: 20 m²', 'type': 'sqm'}, {'amenity': 'Hướng Ngoài trời', 'type': 'views'}, {'amenity': '2 giường đơn', 'type': 'bed'}, {'amenity': 'Bồn tắm', 'type': 'bathtub'}, {'amenity': 'phòng tắm riêng', 'type': 'bathrooms'}, {'amenity': 'Tủ quần áo', 'type': 'closet'}, {'amenity': 'Điều hòa', 'type': 'air-conditioning'}, {'amenity': 'Ấm nước điện', 'type': 'confirmation-instant'}, {'amenity': 'Máy sấy tóc', 'type': 'hair-dryer'}, {'amenity': 'Vòi sen', 'type': 'shower'}]",
20,"[{'amenity': 'Diện tích phòng: 30 m²', 'type': 'sqm'}, {'amenity': 'Hướng Ngoài trời', 'type': 'views'}, {'amenity': '1 giường đôi lớn', 'type': 'bed'}, {'amenity': 'Bồn tắm', 'type': 'bathtub'}, {'amenity': 'phòng tắm riêng', 'type': 'bathrooms'}, {'amenity': 'Tủ quần áo', 'type': 'closet'}, {'amenity': 'Điều hòa', 'type': 'air-conditioning'}, {'amenity': 'Ấm nước điện', 'type': 'confirmation-instant'}, {'amenity': 'Máy sấy tóc', 'type': 'hair-dryer'}, {'amenity': 'Vòi sen', 'type': 'shower'}]",
21,"[{'amenity': 'Diện tích phòng: 40 m²', 'type': 'sqm'}, {'amenity': 'Hướng Ngoài trời', 'type': 'views'}, {'amenity': '2 giường đơn', 'type': 'bed'}, {'amenity': 'Bồn tắm', 'type': 'bathtub'}, {'amenity': 'phòng tắm riêng', 'type': 'bathrooms'}, {'amenity': 'Tủ quần áo', 'type': 'closet'}, {'amenity': 'Điều hòa', 'type': 'air-conditioning'}, {'amenity': 'Ấm nước điện', 'type': 'confirmation-instant'}, {'amenity': 'Máy sấy tóc', 'type': 'hair-dryer'}, {'amenity': 'Vòi sen', 'type': 'shower'}]",
22,"[{'amenity': 'Diện tích phòng: 45 m²', 'type': 'sqm'}, {'amenity': 'Hướng Ngoài trời', 'type': 'views'}, {'amenity': '1 giường lớn', 'type': 'bed'}, {'amenity': 'Bồn tắm', 'type': 'bathtub'}, {'amenity': 'phòng tắm riêng', 'type': 'bathrooms'}, {'amenity': 'Tủ quần áo', 'type': 'closet'}, {'amenity': 'Điều hòa', 'type': 'air-conditioning'}, {'amenity': 'Ấm nước điện', 'type': 'confirmation-instant'}, {'amenity': 'Máy sấy tóc', 'type': 'hair-dryer'}, {'amenity': 'Vòi sen', 'type': 'shower'}]",
23,"[{'amenity': 'Diện tích phòng: 18 m²', 'type': 'sqm'}, {'amenity': 'Hướng Ngoài trời', 'type': 'views'}, {'amenity': '1 giường đôi lớn', 'type': 'bed'}, {'amenity': 'Cửa sổ mở', 'type': 'NULL'}, {'amenity': 'Đồ dùng cho giấc ngủ thoải mái', 'type': 'confirmation-instant'}, {'amenity': 'Không hút thuốc', 'type': 'non-smoking-room'}, {'amenity': 'phòng tắm riêng', 'type': 'bathrooms'}, {'amenity': 'Tủ quần áo', 'type': 'closet'}, {'amenity': 'Điều hòa cá nhân', 'type': 'confirmation-instant'}]",
24,"[{'amenity': 'Diện tích phòng: 22 m²', 'type': 'sqm'}, {'amenity': 'Hướng Ngoài trời', 'type': 'views'}, {'amenity': '2 giường đơn', 'type': 'bed'}, {'amenity': 'Cửa sổ có thể mở ra', 'type': 'confirmation-instant'}, {'amenity': 'Đồ dùng cho giấc ngủ thoải mái', 'type': 'confirmation-instant'}, {'amenity': 'Không hút thuốc', 'type': 'non-smoking-room'}, {'amenity': 'phòng tắm riêng', 'type': 'bathrooms'}, {'amenity': 'Tủ quần áo', 'type': 'closet'}, {'amenity': 'Điều hòa cá nhân', 'type': 'confirmation-instant'}]",
25,"[{'amenity': 'Diện tích phòng: 45 m²', 'type': 'sqm'}, {'amenity': 'Hướng Ngoài trời', 'type': 'views'}, {'amenity': '1 giường sofa & 2 giường đơn', 'type': 'bed'}, {'amenity': 'Đồ dùng cho giấc ngủ thoải mái', 'type': 'confirmation-instant'}, {'amenity': 'phòng tắm riêng', 'type': 'bathrooms'}, {'amenity': 'Tủ quần áo', 'type': 'closet'}, {'amenity': 'Điều hòa cá nhân', 'type': 'confirmation-instant'}, {'amenity': 'Nước đóng chai miễn phí', 'type': 'complimentary-bottled-water'}, {'amenity': 'Ấm nước điện', 'type': 'confirmation-instant'}, {'amenity': 'Tủ lạnh', 'type': 'refrigerator'}]",
26,"[{'amenity': 'Diện tích phòng: 25 m²', 'type': 'sqm'}, {'amenity': '2 giường đơn', 'type': 'bed'}, {'amenity': 'Cửa sổ có thể mở ra', 'type': 'confirmation-instant'}, {'amenity': 'Không hút thuốc', 'type': 'non-smoking-room'}, {'amenity': 'Tủ quần áo', 'type': 'closet'}, {'amenity': 'Điều hòa', 'type': 'air-conditioning'}, {'amenity': 'Tủ lạnh', 'type': 'refrigerator'}, {'amenity': 'Máy sấy tóc', 'type': 'hair-dryer'}, {'amenity': 'Vòi sen', 'type': 'shower'}]",
27,"[{'amenity': 'Diện tích phòng: 12 m²', 'type': 'sqm'}, {'amenity': 'Hướng Thành phố', 'type': 'views'}, {'amenity': '1 giường đôi', 'type': 'bed'}, {'amenity': 'Rèm che ánh sáng', 'type': 'blackout-curtains'}, {'amenity': 'Rượu', 'type': 'confirmation-instant'}, {'amenity': 'tầng thượng', 'type': 'top-floor'}, {'amenity': 'Không hút thuốc', 'type': 'non-smoking-room'}, {'amenity': 'Hành lang ngoài', 'type': 'confirmation-instant'}, {'amenity': 'phòng tắm riêng', 'type': 'bathrooms'}]",
