hotel_id,room_room_type_name,room_type_id
45902478,Phòng Đôi Loại Sang (Deluxe Double Room),110
45902478,Phòng Superior Có Giường Cỡ King (Superior King Room),111
45902478,Phòng Gia đình Nhìn ra Vườn (Family Room with Garden View),112
45902478,Phòng Đôi (Double Room),113
2513138,Phòng Đôi (Double Room),114
2513138,Phòng Đôi Cao Cấp (Superior Double Room),115
2513138,Phòng Ba Người Tiêu Chuẩn (Standard Triple Room),116
2513138,Phòng cho 3 người có Ban Công (Triple Room with Balcony),117
2513138,Căn Hộ Áp Mái (Penthouse Apartment),118
2513138,Phòng Gia Đình (Family Room),119
47144675,Phòng Đôi (Double Room),120
47144675,Premier Suite 2 giường (Premier Twin Suite),121
47144675,Phòng Deluxe giường đôi lớn 2 (Deluxe Queen Room 2),122
48051693,Phòng Đôi (Double Room),123
48051693,Phòng 2 Giường Đôi (Double Room with Two Double Beds),124
48051693,Phòng Deluxe Giường Đôi/2 Giường Đơn (Deluxe Double or Twin Room),125
78472374,Phòng Tiêu Chuẩn (Standard Room),126
78472374,Phòng Deluxe có 1 Phòng ngủ (1 Bedroom Deluxe),127
32790491,Căn hộ cho 2 người (Apartment for 2 People),128
32790491,Căn Hộ có 2 Giường và Bếp Nhỏ (Apartment with 2 Beds and Kitchenette),129
32790491,Căn Hộ 1 Phòng Ngủ (One-Bedroom Apartment),130
21585838,Phòng Cao Cấp Giường Đôi (Chỉ Gồm Phòng Nghỉ) (Superior Double (Room Only)),131
21585838,Deluxe 3 người (Deluxe Triple),132
21585838,Phòng Deluxe 4 người (Deluxe Quad),133
21585838,Phòng Suite Deluxe 4 người (Deluxe Quadruple Suite),134
21585838,Phòng 4 Người (Quadruple Room),135
44688885,Phòng Đôi (Double Room),136
41771557,Superior - 1 Giường King (Superior - 1 King Bed),137
67746367,Deluxe giường đôi (Deluxe Double),138
67746367,Phòng Premier hướng hồ bơi (Premier Pool View),139
67746367,Premier Pool View Twin Room,140
67746367,Căn Hộ - 2 Giường Đôi (Apartment - 2 Double Beds),141
67746367,Phòng Có 2 Giường Cỡ King (King Room with Two King Beds),142
30507403,Phòng Tiêu Chuẩn Giường Đôi (Standard Double Room),143
30507403,Suite Nhìn Ra Vườn (Suite with Garden View),144
72814400,Phòng Đôi (Double Room),145
72814400,Phòng Có Giường Cỡ King (King Room),146
72814400,Phòng Gia Đình Có Ban Công (Family Room with Balcony),147
78189963,Phòng Tiêu Chuẩn (Standard Room),148
78189963,Deluxe giường đôi hoặc 2 giường (Deluxe Double or Twin),149
78189963,Deluxe hướng thành phố (Deluxe City View),150
78189963,Phòng Lớn 2 Giường Đơn (Large Twin Room),151
55477674,Phòng Đôi (Double Room),152
55477674,Phòng 4 người (Quadruple Room),153
5780603,Phòng Tiêu Chuẩn (Standard Room),154
25134310,Phòng Có Giường Cỡ King (King Room),155
517570,Phòng Có Giường Cỡ King (King Room),156
517570,Phòng Gia Đình Có Bồn Tắm (Family Room with Bath),157
51973678,Phòng Superior Có Giường Cỡ King (Superior King Room),158
51973678,Phòng Giường Đôi (Standard Double Room without Balcony),159
51973678,Phòng Ngủ Hai Giường Đơn Cao Cấp (Superior Twin Bedroom),160
51973678,Phòng Hai Giường Đơn (Twin Room),161
51973678,Suite Deluxe (Deluxe Suite),162
51973678,Executive Suite (Execuitve Suite),163
51973678,Phòng Deluxe (Deluxe Room with Fan),164
51973678,Phòng Gia Đình (Family Room),165
36627918,Phòng Tiêu Chuẩn (Standard Room),166
36627918,Phòng 4 Người Có Ban Công (Quadruple Room with Balcony),167
45049879,Phòng Tiêu Chuẩn (Standard),168
42822207,Phòng Đôi (Double Room),169
42822207,Phòng Tiêu Chuẩn Giường Đôi (Standard Double Room),170
42822207,Phòng Đôi Cao Cấp (Superior Double Room),171
42822207,Phòng Đôi Loại Sang (Deluxe Double Room),172
42822207,Phòng Gia Đình (Family Room),173
62514499,Phòng Đôi (Double Room),174
62514499,Phòng Ba Người (Triple Room),175
62514499,Phòng 4 người (Quadruple Room),176
60535333,Phòng Standard giường đôi (Standard Double Room),177
60535333,Phòng Cao Cấp Cho Hai Người (Superior Double Room),178
60535333,Phòng Đôi Cao Cấp (Superior Double Room),179
60535333,Phòng Loại Sang Giường Đôi (Deluxe Double Room),180
60535333,Phòng Đôi Loại Sang (Deluxe Double Room),181
4210278,Phòng Tiêu Chuẩn Giường Lớn (Standard King Room),182
4210278,Phòng Đôi Loại Sang (Deluxe Double Room),183
74448281,Phòng Đôi (Double Room),184
74448281,Phòng Hai Giường Đơn (Twin Room),185
75561452,Căn hộ (Apartment),186
47676608,Phòng Tiêu Chuẩn (Standard Room),187
47676608,Phòng suite cao cấp (Superior Suite),188
66736330,Phòng Tiêu Chuẩn (Standard Room),189
37968433,Tiêu Chuẩn Giường Lớn Không Có Khói Thuốc (Standard King Smoke Free),190
37968433,Phòng Deluxe có giường cỡ King với Giường Sofa - Không Hút thuốc (Deluxe King Room with Sofa Bed - Non-Smoking),191
37968433,Đôi hoặc Hai Giường Đơn Cao Cấp (Premium Double or Twin),192
37718196,Phòng Deluxe Tiêu chuẩn (Deluxe Standard Room),193
37718196,Superior giường Queen (Superior Queen),194
37718196,Studio Deluxe (Deluxe Studio),195
37718196,Phòng Cổ Điển Cho 3 Người (Classic Triple Room),196
61415768,Phòng Tiêu Chuẩn Giường Đôi (Standard Double Room),197
61415768,Phòng Đôi Loại Sang (Deluxe Double Room),198
61415768,Phòng Superior 4 Người (Superior Quadruple Room),199
65492084,Phòng đơn Tiêu chuẩn (Standard Individual),200
65492084,Phòng Tiêu Chuẩn (Standard),201
65492084,Phòng Superior 3 người (Triple Superior),202
65492084,Phòng 4 Người (Quadruple Room),203
65492084,Phòng 2 giường đôi (Double with 2 Double Beds),204
50419039,"Căn Hộ 1 phòng ngủ, có bếp (1-Bedroom Apartment with Kitchen)",205
50419039,Căn Hộ 2 Phòng Ngủ 1 Phòng Tắm (Two-Bedroom One Bathroom Apartment),206
50419039,Căn hộ 2 Phòng Ngủ 2 Phòng Tắm (Two-Bedroom Two Bathroom Apartment),207
1590651,Phòng Đôi Phổ Thông (Economy Double Room),208
1590651,Phòng Tiêu Chuẩn Giường Đôi (Standard Double Room),209
1590651,Phòng Đôi Loại Sang (Deluxe Double Room),210
1590651,Căn Hộ 1 Phòng Ngủ (One-Bedroom Apartment),211
21724717,Superior 2,212
21724717,Club Suite Gia đình (Family Club Suite),213
773934,Phòng Superior (Superior),214
666001,Giường đôi - 2 người (Double - 2 People),215
666001,Phòng giường đơn - 1 người (Single - 1 Person),216
55771087,Phòng Đôi (Double Room),217
55771087,Tiêu Chuẩn 3 người (Triple Standard),218
55771087,Phòng Gia Đình (Family Room),219
76607961,Căn Hộ 1 Phòng Ngủ (Apartment 1 Bedroom),220
76607961,Căn Hộ 1 Phòng Ngủ (One-Bedroom Apartment),221
76607961,Căn Hộ 1 Phòng Ngủ có Ban Công (One Bedroom Apartment - Balcony),222
76607961,Căn Hộ 1 Phòng Ngủ Có Ban Công (One-Bedroom Apartment with Balcony),223
76607961,Căn Hộ 2 Phòng Ngủ (Two Bedroom Apartment),224
76607961,Căn Hộ 2 Phòng Ngủ (Two-Bedroom Apartment),225
76607961,Căn Hộ Áp Mái 2 Phòng Ngủ (Penthouse 2-Bedroom Apartment),226
76607961,Căn hộ Gia đình 2 Phòng ngủ (Two-Bedroom Family Apartment),227
34174204,Phòng Tiêu Chuẩn Giường Lớn (Standard King Room),228
34174204,Phòng Deluxe Có Giường Cỡ King (Deluxe King Room),229
34174204,Phòng Deluxe Giường Đôi/2 Giường Đơn Nhìn Ra Thành Phố (Deluxe Double or Twin Room with City View),230
34174204,Phòng Superior Có Giường Cỡ King (Superior King Room),231
263318,Phòng Tiêu Chuẩn (Standard Room),232
263318,Phòng Superior (Superior Room),233
263318,Phòng Loại Sang (Deluxe Room),234
263318,Suite,235
263318,Suite Executive (Executive Suite with Bathtub),236
666016,Deluxe giường đôi hoặc 2 giường (Deluxe Double or Twin),237
666016,Deluxe single,238
69330436,Căn hộ (Apartment),239
69330436,Căn Hộ 1 Phòng Ngủ (One-Bedroom Apartment),240
78220176,Phòng Standard giường đôi (Standard Double Room),241
78220176,Phòng Cao Cấp Cho Hai Người (Superior Double Room),242
78220176,Phòng 4 người (Quadruple Room),243
55272061,Phòng Ba Người (Triple Room),244
55272061,Phòng Đôi hoặc 2 giường đơn Lớn (Large Double or Twin Room),245
79995184,Phòng Superior 1 Phòng Ngủ (1 Bedroom Superior),246
79995184,Phòng Deluxe 2 Phòng Ngủ (2 Bedroom Deluxe),247
79995184,Suite Deluxe 2 Phòng Ngủ (2 Bedroom Deluxe Suite),248
38783514,Phòng Standard giường đôi (Standard Double Room),249
38783514,Phòng 4 người (Quadruple Room),250
38783514,Phòng Cao Cấp Cho Hai Người (Superior Double Room),251
38783514,Phòng Loại Sang Giường Đôi (Deluxe Double Room),252
24251710,Phòng Deluxe (Deluxe),253
24251710,Deluxe giường King (Deluxe King),254
24251710,Phòng Deluxe Gia đình (Deluxe Family Room),255
64962558,Phòng Tiêu Chuẩn (Standard Room),256
64962558,Phòng Loại Sang (Deluxe),257
64962558,Phòng Tiêu Chuẩn 4 Người (Standard Quadruple Room),258
984374,Phòng Tiêu Chuẩn Giường Đôi (Standard Double Room),259
984374,Phòng Superior Có Giường Cỡ King (Superior King Room),260
984374,Phòng Đôi Loại Sang (Deluxe Double Room),261
984374,Phòng Deluxe Có 2 Giường Cỡ Queen (Deluxe Queen Room with Two Queen Beds),262
76068359,Phòng Đôi (Double Room),263
76068359,Phòng Tiêu Chuẩn Giường Đôi (Standard Double Room),264
76068359,Phòng Hai Giường Đơn (Twin Room),265
64277532,Phòng Đôi Phổ Thông (Economy Double Room),266
64277532,Phòng Loại Sang (Deluxe Room),267
77725743,Phòng Tiêu Chuẩn (Standard Room),268
74337724,Căn Hộ 1 Phòng Ngủ (One-Bedroom Apartment),269
68398360,Căn Hộ 2 Phòng Ngủ Nhìn Ra Vườn (Two-Bedroom Apartment with Garden View),270
12274398,Phòng Đôi Loại Sang (Deluxe Double Room),271
12274398,Phòng Hai Giường Đơn Loại Sang (Deluxe Twin Room),272
35427007,Phòng Ba Người (Triple Room),273
35427007,Phòng 3 người có Tầm nhìn (Triple Room with View),274
35427007,Phòng Deluxe Giường Đôi/2 Giường Đơn (Deluxe Double or Twin Room),275
65453377,Phòng Tiêu Chuẩn (Standard Room),276
65453377,Phòng Loại Sang (Deluxe),277
59318539,Phòng Đơn (Earth Single Room),278
59318539,Deluxe hướng thành phố (Deluxe City View),279
59318539,Deluxe gia đình (Family Deluxe),280
45418566,Phòng Đơn (Single Room),281
2496850,Phòng Superior giường đôi lớn (Superior Queen Room),282
2496850,Phòng Đôi Loại Sang (Deluxe Double Room),283
42295839,Phòng Tiêu Chuẩn Giường Đôi (Standard Double Room),284
42295839,Phòng Đôi (Double Room),285
42295839,Phòng 4 Người (Quadruple Room),286
75848060,Phòng Đôi (Double Room),287
75848060,Phòng 4 Người (Quadruple Room),288
79077760,Phòng Đôi (Double Room),289
79077760,Phòng 4 Người (Quadruple Room),290
78328191,"Basic Double Room, City View",291
78328191,"Standard Double Room Single Use, City View",292
78328191,Phòng Ba Người Tiêu Chuẩn (Standard Triple Room),293
78328191,Phòng Tiêu Chuẩn 4 Người (Standard Quadruple Room),294
75619509,Căn Hộ 1 Phòng Ngủ (One-Bedroom Apartment),295
54619271,Phòng Tiêu Chuẩn Giường Đôi (Standard Double Room),296
71661182,Căn hộ (Apartment),297
69127176,Phòng Đôi Loại Sang (Deluxe Double Room),298
69127176,Phòng Có Giường Cỡ King Với Ban Công (King Room with Balcony),299
42180899,Basic Double Room Single Use,300
42180899,Phòng Tiêu Chuẩn Giường Đôi (Standard Double Room),301
42180899,Phòng 4 Người (Quadruple Room),302
42180899,Phòng Đôi Cao Cấp (Superior Double Room),303
42180899,Phòng Đôi Loại Sang (Deluxe Double Room),304
39830558,Căn hộ (Apartment),305
76381694,Căn hộ (Apartment),306
47272876,Căn hộ (Apartment),307
79228704,Studio,308
79228704,Căn Hộ Studio (Studio Apartment),309
79228704,Căn Hộ 2 Phòng Ngủ (Two-Bedroom Apartment),310
79228704,Căn Hộ 2 Phòng Ngủ (Two-Bedroom Apartment),311
42072846,Phòng Tiêu Chuẩn (Standard),312
42072846,Phòng Loại Sang (Deluxe Room),313
42072846,Căn hộ Tiêu chuẩn (Standard Apartment),314
42072846,Suite,315
42072846,Suite,316
42072846,Suite,317
42072846,Suite,318
42072846,Suite,319
1423429,Phòng Standard giường đôi (Standard Double Room),320
1423429,Căn hộ Tiêu chuẩn (Standard Apartment),321
37329771,Căn hộ (Apartment),322
79134594,Superior 2 giường (Superior Twin),323
79134594,Giường Lớn Cao Cấp (Superior King),324
79134594,Superior Studio,325
79134594,Phòng Deluxe 2 Giường đơn (Deluxe Twin),326
79134594,Deluxe giường King (Deluxe King),327
79134594,Deluxe Studio 2 giường (Deluxe Twin Studio),328
79134594,Studio Deluxe giường King (Deluxe King Studio),329
79134594,Studio Premier 2 giường (Premier Studio Twin),330
79134594,Phòng Gia Đình (Family Room),331
79134594,Phòng Ba Người (Triple Room),332
79134594,Phòng Ba Người (Triple Room),333
79134594,Phòng Ba Người (Triple Room),334
65482029,Phòng Giường Đôi/2 Giường Đơn (Double or Twin Room),335
78120100,Phòng Đơn Có Phòng Tắm Riêng (Single Room With Private Bathroom),336
