"hotel_id";"hotel_name";"hotel_address";"room_type_name";"option_name";"option_price";"1 giường lớn";"1 giường lớn / 1 giường đôi lớn và 1 giường đôi";"1 giường lớn hoặc 2 giường đơn";"1 giường siêu lớn";"1 giường siêu lớn / 1 giường lớn";"1 giường đôi";"1 giường đôi / 2 giường đơn";"1 giường đôi hoặc 1 giường đơn";"1 giường đôi lớn";"1 giường đôi lớn và 1 giường đơn";"1 giường đôi và 1 giường đôi lớn";"1 giường đơn";"1 giường đơn và 1 giường đôi";"1 giường đơn và 1 giường đôi lớn";"1 phòng tắm";"13 phòng ngủ";"13 phòng tắm";"15 m²";"16 m²";"18 m²";"180 m²";"2 giường lớn";"2 giường đôi";"2 giường đôi lớn";"2 giường đơn";"2 giường đơn hoặc 1 giường đôi";"2 giường đơn và 1 giường lớn và 1 giường đôi và 1 giường đôi lớn / 2 giường đơn và 1 giường lớn và 2 giường đôi lớn và 2 giường đôi / 3 giường sofa";"2 phòng ngủ";"2 phòng tắm";"20 m²";"22 m²";"23 m²";"25 m²";"26 m²";"28 m²";"3 giường đôi lớn";"3 giường đôi lớn / 7 giường đơn / 3 giường siêu lớn / 1 giường đơn / 1 giường đơn / 1 giường đơn / 1 giường đơn / 1 giường đơn / 1 giường đơn / 1 giường đơn / 1 giường đơn / 1 giường đơn / 1 giường đơn";"3 giường đơn";"30 m²";"32 m²";"34 m²";"35 m²";"36 m²";"37 m²";"38 m²";"40 m²";"42 m²";"500 m²";"55 m²";"80 m²";"85 m²";"Ban công/sân hiên";"Bể bơi riêng";"Bồn tắm";"Bồn tắm tạo sóng";"Bồn tắm/vòi sen riêng";"Cho phép hút thuốc";"Chăn điện";"Cà phê hòa tan miễn phí";"Cửa sổ";"Giường cực dài";"Hành lang ngoài";"Hướng Ngoài trời";"Hướng Núi";"Hướng Sông";"Hướng Thành phố";"Hướng Vườn";"Hướng Đường phố";"Không hút thuốc";"Lối vào bãi biển riêng";"Máy pha trà/cà phê";"Máy sấy tóc";"Nước đóng chai miễn phí";"Phòng thay đồ";"Phòng tắm chung";"Phòng tắm đứng";"Phòng xông khô";"Rèm che ánh sáng";"Trà miễn phí";"Trái cây/đồ ăn vặt";"Tối đa 2 người lớn";"Tối đa 2 người lớn, 1 bé (0-1 tuổi) ở MIỄN PHÍ!";"Tối đa 2 người lớn, 1 bé (0-10 tuổi) ở MIỄN PHÍ!";"Tối đa 2 người lớn, 1 bé (0-11 tuổi) ở MIỄN PHÍ!";"Tối đa 2 người lớn, 1 bé (0-5 tuổi) ở MIỄN PHÍ!";"Tối đa 2 người lớn, 1 bé (0-6 tuổi) ở MIỄN PHÍ!";"Tối đa 2 người lớn, 2 bé (0-10 tuổi) ở MIỄN PHÍ!";"Tối đa 2 người lớn, 2 bé (0-5 tuổi) ở MIỄN PHÍ!";"Tối đa 23 người lớn";"Tối đa 3 người lớn";"Tối đa 3 người lớn, 1 bé (0-5 tuổi) ở MIỄN PHÍ!";"Tối đa 30 người lớn";"Tối đa 4 người lớn";"Tối đa 4 người lớn, 1 bé (0-11 tuổi) ở MIỄN PHÍ!";"Tối đa 4 người lớn, 1 bé (0-5 tuổi) ở MIỄN PHÍ!";"Tối đa 4 người lớn, 2 bé (0-5 tuổi) ở MIỄN PHÍ!";"Tủ lạnh";"Tủ lạnh nhỏ trong phòng";"Tủ quần áo";"Vòi sen";"Wi-Fi [miễn phí]";"phòng tắm riêng";"tầng cao";"tầng trệt";"Điều hòa";"Điều hòa cá nhân";"Được vào phòng chờ Thương Gia";"Đồ dùng cho giấc ngủ thoải mái";"Đồ gỗ ngoài trời";"Đồ uống mời khách miễn phí";"Ấm nước";"Ấm nước điện"
"66700544";"Thanh Hà Hotel Lào Cai (Thanh Ha Hotel Lao Cai)";"1 Phạm Văn Xảo, Lào Cai, Lào Cai, Việt Nam";"Phòng Đôi (Double Room)";"2 người lớn & 1 trẻ em (0-5 tuổi)";"272.474";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1"
"66700544";"Thanh Hà Hotel Lào Cai (Thanh Ha Hotel Lao Cai)";"1 Phạm Văn Xảo, Lào Cai, Lào Cai, Việt Nam";"Phòng 4 Người (Quadruple Room)";"4 người lớn & 2 trẻ em (0-5 tuổi)";"380.681";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1"
"75893436";"Lao Cai Sun Hotel";"Lao Cai Sun Hotel 024 đường Hoàng Liên, phường Cốc Lếu, Lào Cai, Lào Cai, Việt Nam";"Phòng Tiêu Chuẩn Giường Đôi (Standard Double Room)";"2 người lớn";"277.778";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"1";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1"
"75893436";"Lao Cai Sun Hotel";"Lao Cai Sun Hotel 024 đường Hoàng Liên, phường Cốc Lếu, Lào Cai, Lào Cai, Việt Nam";"Phòng 3 Người Nhìn Ra Thành Phố (Triple Room with City View)";"2 người lớn";"351.852";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"1";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1"
"75893436";"Lao Cai Sun Hotel";"Lao Cai Sun Hotel 024 đường Hoàng Liên, phường Cốc Lếu, Lào Cai, Lào Cai, Việt Nam";"Phòng 3 Người Nhìn Ra Thành Phố (Triple Room with City View)";"3 người lớn";"370.370";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"1";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1"
"63329581";"Căn hộ 500 m² 13 phòng ngủ, 13 phòng tắm riêng ở Lào Cai (Hoàng lan hotell)";"Lào Cai, Lào Cai, Việt Nam";"Căn hộ (Apartment)";"30 người lớn & 1 trẻ em (0-7 tuổi)";"211.393";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"55811124";"Hoa Sữa Hotel Lào Cai - by Bay Luxury (Hoa Sua Hotel Lao Cai - by Bay Luxury)";"89 Phố Châu Úy, Lào Cai, Lào Cai, Việt Nam";"Phòng Tiêu Chuẩn Giường Đôi Lớn (Standard Queen Room)";"2 người lớn";"253.603";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"55634111";"Như Ý Hotel Lào Cai - by Bay Luxury (Nhu Y Hotel Lao Cai - by Bay Luxury)";"154 Nhạc Sơn, Lào Cai, Lào Cai, Việt Nam";"Phòng Hai Giường Đơn (Twin Room)";"2 người lớn";"330.931";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"55634111";"Như Ý Hotel Lào Cai - by Bay Luxury (Nhu Y Hotel Lao Cai - by Bay Luxury)";"154 Nhạc Sơn, Lào Cai, Lào Cai, Việt Nam";"Phòng Tiêu Chuẩn Giường Đôi Lớn (Standard Queen Room)";"2 người lớn";"411.585";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"55634111";"Như Ý Hotel Lào Cai - by Bay Luxury (Nhu Y Hotel Lao Cai - by Bay Luxury)";"154 Nhạc Sơn, Lào Cai, Lào Cai, Việt Nam";"Phòng Tiêu Chuẩn Giường Đôi Lớn (Standard Queen Room)";"1 người lớn Vượt quá sức chứa phòng";"411.585";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
