"hotel_id";"hotel_name";"hotel_address";"room_type_name";"option_name";"option_price";"1 giường lớn";"1 giường đôi";"1 giường đôi / 1 giường sofa";"1 giường đôi lớn";"1 giường đôi lớn hoặc 2 giường đơn";"1 giường đơn";"1 giường đơn / 1 giường đơn";"12 m²";"14 m²";"15 m²";"16 m²";"18 m²";"2 giường lớn";"2 giường đôi";"2 giường đôi lớn";"2 giường đơn";"2 giường đơn hoặc 1 giường đôi";"2 phòng ngủ";"2 phòng tắm";"20 m²";"21 m²";"22 m²";"24 m²";"25 m²";"26 m²";"28 m²";"29 m²";"30 m²";"31 m²";"32 m²";"33 m²";"35 m²";"38 m²";"4 m²";"4 phòng tắm";"65 m²";"70 m²";"75 m²";"Ban công/sân hiên";"Bồn tắm";"Bồn tắm tạo sóng";"Bồn tắm/vòi sen riêng";"Chăn điện";"Cà phê hòa tan miễn phí";"Cửa sổ";"Giường cực dài";"Hành lang ngoài";"Hướng Biển";"Hướng Bãi biển";"Hướng Bể bơi";"Hướng Công viên";"Hướng Không có cửa sổ";"Hướng Ngoài trời";"Hướng Núi";"Hướng Sông";"Hướng Thiên nhiên";"Hướng Thành phố";"Hướng Vườn";"Hướng biển (hướng một phần)";"Hướng Đường phố";"Hướng Đại dương";"Không hút thuốc";"Máy pha trà/cà phê";"Máy sấy tóc";"Nước đóng chai miễn phí";"Phòng thay đồ";"Phòng tắm chung";"Phòng tắm đứng";"Rèm che ánh sáng";"Rượu";"Studio/1 phòng ngủ";"Truy cập Internet - không dây";"Trái cây/đồ ăn vặt";"Tối đa 1 người lớn, 1 bé (0-9 tuổi) ở MIỄN PHÍ!";"Tối đa 2 người lớn";"Tối đa 2 người lớn, 1 bé (0-1 tuổi) ở MIỄN PHÍ!";"Tối đa 2 người lớn, 1 bé (0-12 tuổi) ở MIỄN PHÍ!";"Tối đa 2 người lớn, 1 bé (0-2 tuổi) ở MIỄN PHÍ!";"Tối đa 2 người lớn, 1 bé (0-3 tuổi) ở MIỄN PHÍ!";"Tối đa 2 người lớn, 1 bé (0-5 tuổi) ở MIỄN PHÍ!";"Tối đa 2 người lớn, 1 bé (0-7 tuổi) ở MIỄN PHÍ!";"Tối đa 2 người lớn, 1 bé (0-9 tuổi) ở MIỄN PHÍ!";"Tối đa 3 người lớn, 3 bé (0-5 tuổi) ở MIỄN PHÍ!";"Tối đa 4 người lớn";"Tối đa 4 người lớn, 1 bé (0-7 tuổi) ở MIỄN PHÍ!";"Tối đa 4 người lớn, 1 bé (0-9 tuổi) ở MIỄN PHÍ!";"Tối đa 4 người lớn, 2 bé (0-12 tuổi) ở MIỄN PHÍ!";"Tối đa 4 người lớn, 2 bé (0-2 tuổi) ở MIỄN PHÍ!";"Tối đa 4 người lớn, 2 bé (0-7 tuổi) ở MIỄN PHÍ!";"Tủ lạnh";"Tủ lạnh nhỏ trong phòng";"Tủ quần áo";"Vòi sen";"Wi-Fi [miễn phí]";"phòng tắm riêng";"tầng cao";"tầng thấp";"tầng trệt";"Điều hòa";"Điều hòa cá nhân";"Được vào phòng chờ Thương Gia";"Đồ dùng cho giấc ngủ thoải mái";"Đồ gỗ ngoài trời";"Đồ uống mời khách miễn phí";"Ấm nước";"Ấm nước điện"
"35716946";"Khách sạn Hasu (Hasu The Hotel)";"số 9+10 Lô A2, khu đô thị tây bắc, phường Vĩnh Thanh, Rạch Giá, Kiên Giang, Rạch Giá, Rạch Giá (Kiên Giang), Việt Nam, 920000";"Phòng Có Giường Cỡ King (King Room)";"2 người lớn & 1 trẻ em (0-3 tuổi)";"483.333";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1"
"35716946";"Khách sạn Hasu (Hasu The Hotel)";"số 9+10 Lô A2, khu đô thị tây bắc, phường Vĩnh Thanh, Rạch Giá, Kiên Giang, Rạch Giá, Rạch Giá (Kiên Giang), Việt Nam, 920000";"Phòng Có Giường Cỡ King Với Ban Công (King Room with Balcony)";"2 người lớn & 1 trẻ em (0-3 tuổi)";"583.333";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1"
"239493";"Sea Light Hotel";"A11, Đường 3/2, Rạch Giá, Rạch Giá (Kiên Giang), Việt Nam";"Phòng 2 Giường Đơn Nhìn Ra Thành Phố (Twin Room with City View)";"2 người lớn";"462.963";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"71338734";"Khách sạn Mỹ Phượng (Hotel My Phuong)";"Khu đô thị lấn biển Tây Bắc, Rạch Giá Lô A7 căn 10,11,12, Rạch Giá, Rạch Giá (Kiên Giang), Việt Nam";"Phòng Đơn Hạng Tiết Kiệm (Economy Single Room)";"2 người lớn";"218.594";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"1"
"71338734";"Khách sạn Mỹ Phượng (Hotel My Phuong)";"Khu đô thị lấn biển Tây Bắc, Rạch Giá Lô A7 căn 10,11,12, Rạch Giá, Rạch Giá (Kiên Giang), Việt Nam";"Phòng Đơn Hạng Tiết Kiệm (Economy Single Room)";"1 người lớn Vượt quá sức chứa phòng";"231.481";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"1"
"71338734";"Khách sạn Mỹ Phượng (Hotel My Phuong)";"Khu đô thị lấn biển Tây Bắc, Rạch Giá Lô A7 căn 10,11,12, Rạch Giá, Rạch Giá (Kiên Giang), Việt Nam";"Phòng Tiêu Chuẩn Giường Lớn (Standard King Room)";"2 người lớn";"259.259";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"1"
"71338734";"Khách sạn Mỹ Phượng (Hotel My Phuong)";"Khu đô thị lấn biển Tây Bắc, Rạch Giá Lô A7 căn 10,11,12, Rạch Giá, Rạch Giá (Kiên Giang), Việt Nam";"Phòng Tiêu Chuẩn Giường Lớn (Standard King Room)";"2 người lớn";"259.730";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"1"
"926818";"Sai Gon Rach Gia Hotel";"844 Nguyễn Trung Trực, Phường An H a, Tp, Rạch Giá, Rạch Giá (Kiên Giang), Việt Nam, 920000";"Phòng Loại Sang (Deluxe)";"2 người lớn & 1 trẻ em (0-3 tuổi)";"934.593";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1"
"926818";"Sai Gon Rach Gia Hotel";"844 Nguyễn Trung Trực, Phường An H a, Tp, Rạch Giá, Rạch Giá (Kiên Giang), Việt Nam, 920000";"Phòng Loại Sang (Deluxe)";"2 người lớn & 1 trẻ em (0-3 tuổi)";"1.058.201";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1"
"926818";"Sai Gon Rach Gia Hotel";"844 Nguyễn Trung Trực, Phường An H a, Tp, Rạch Giá, Rạch Giá (Kiên Giang), Việt Nam, 920000";"Phòng Loại Sang (Deluxe)";"2 người lớn";"1.322.581";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1"
