"hotel_id";"hotel_name";"hotel_address";"room_type_name";"option_name";"option_price";"1 giường lớn";"1 giường siêu lớn";"1 giường đôi";"1 giường đôi lớn";"1 giường đơn và 1 giường lớn và 1 giường đôi / 1 giường đôi và 1 giường đôi lớn và 1 giường đơn";"1 giường đơn và 1 giường đôi";"1 giường đơn và 1 giường đôi lớn";"1 phòng tắm";"100 m²";"14 m²";"15 m²";"16 m²";"17 m²";"18 m²";"2 giường lớn";"2 giường đôi";"2 giường đôi lớn";"2 giường đơn";"2 phòng tắm";"20 m²";"22 m²";"24 m²";"25 m²";"26 m²";"27 m²";"3 giường đơn";"30 m²";"32 m²";"33 m²";"35 m²";"40 m²";"50 m²";"55 m²";"60 m²";"Ban công/sân hiên";"Bồn tắm";"Bồn tắm tạo sóng";"Bồn tắm/vòi sen riêng";"Cho phép hút thuốc";"Chăn điện";"Cà phê hòa tan miễn phí";"Cửa sổ";"Giường cực dài";"Hướng Bể bơi";"Hướng Hồ";"Hướng Không có cửa sổ";"Hướng Ngoài trời";"Hướng Sông";"Hướng Thành phố";"Hướng Vườn";"Hướng Đường phố";"Không hút thuốc";"Máy sấy tóc";"Nước đóng chai miễn phí";"Phòng thay đồ";"Phòng tắm chung";"Phòng tắm đứng";"Rèm che ánh sáng";"Studio/1 phòng ngủ";"Truy cập Internet - không dây";"Trái cây/đồ ăn vặt";"Tối đa 2 người lớn";"Tối đa 2 người lớn, 1 bé (0-1 tuổi) ở MIỄN PHÍ!";"Tối đa 2 người lớn, 1 bé (0-12 tuổi) ở MIỄN PHÍ!";"Tối đa 2 người lớn, 1 bé (0-2 tuổi) ở MIỄN PHÍ!";"Tối đa 2 người lớn, 1 bé (0-5 tuổi) ở MIỄN PHÍ!";"Tối đa 2 người lớn, 2 bé (0-5 tuổi) ở MIỄN PHÍ!";"Tối đa 3 người lớn";"Tối đa 30 người lớn";"Tối đa 4 người lớn";"Tối đa 7 người lớn";"Tủ lạnh";"Tủ lạnh nhỏ trong phòng";"Tủ quần áo";"Vòi sen";"Wi-Fi [miễn phí]";"phòng tắm riêng";"tầng cao";"tầng trệt";"Điều hòa";"Điều hòa cá nhân";"Đồ dùng cho giấc ngủ thoải mái";"Đồ gỗ ngoài trời";"Ấm nước";"Ấm nước điện"
"31998528";"Khách sạn Ruby (RUBY HOTEL)";"19-20A Hung Vuong, Ward 7, Ca Mau City, 19-20A Hùng Vương, Phường 7,Thành Phố Cà Mau, Cà Mau, Cà Mau, Việt Nam, 98000";"Phòng VIP 2 (VIP Room 2)";"2 người lớn & 1 trẻ em (0-2 tuổi)";"330.653";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"49684826";"Khách sạn The One Cà Mau";"MG2-19-20-23-24, MG1-01-02-03-04, Khu đ&#244; thị Vincom, Phường 1 , Cà Mau, Cà Mau, Việt Nam, 98100";"Tiêu chuẩn giường đôi (Double Standard Room)";"2 người lớn";"502.701";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"49684826";"Khách sạn The One Cà Mau";"MG2-19-20-23-24, MG1-01-02-03-04, Khu đ&#244; thị Vincom, Phường 1 , Cà Mau, Cà Mau, Việt Nam, 98100";"Suite giường đôi (Double Suite)";"2 người lớn";"743.152";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"49684826";"Khách sạn The One Cà Mau";"MG2-19-20-23-24, MG1-01-02-03-04, Khu đ&#244; thị Vincom, Phường 1 , Cà Mau, Cà Mau, Việt Nam, 98100";"Deluxe 2 giường (Deluxe Double Twin)";"2 người lớn";"962.907";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"266768";"Khách sạn Ánh Nguyệt (Anh Nguyet Hotel)";"207, Phan Ngọc Hiển ,Phường 6,Tp. Cà Mau, Cà Mau, Cà Mau, Việt Nam";"Suite Tiêu chuẩn (Standard Suite)";"2 người lớn";"759.665";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0";"0";"1"
"266768";"Khách sạn Ánh Nguyệt (Anh Nguyet Hotel)";"207, Phan Ngọc Hiển ,Phường 6,Tp. Cà Mau, Cà Mau, Cà Mau, Việt Nam";"Phòng Vip giường King (Vip King Bed)";"2 người lớn";"822.240";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"1";"0";"0";"1";"0";"0";"0";"0";"1"
"266768";"Khách sạn Ánh Nguyệt (Anh Nguyet Hotel)";"207, Phan Ngọc Hiển ,Phường 6,Tp. Cà Mau, Cà Mau, Cà Mau, Việt Nam";"Phòng Vip giường King (Vip King Bed)";"2 người lớn & 1 trẻ em (0-5 tuổi)";"972.222";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"1";"0";"0";"1";"0";"0";"0";"0";"1"
"4946187";"NHÀ KHÁCH KEN (NHA KHACH KEN)";"17H Huynh Thuc Khang bridge, Ward 7, Cà Mau, Cà Mau, Việt Nam";"Phòng Gia Đình (Family Room)";"2 người lớn";"238.333";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0"
"4946187";"NHÀ KHÁCH KEN (NHA KHACH KEN)";"17H Huynh Thuc Khang bridge, Ward 7, Cà Mau, Cà Mau, Việt Nam";"Phòng Gia Đình (Family Room)";"2 người lớn";"240.741";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0"
"4946187";"NHÀ KHÁCH KEN (NHA KHACH KEN)";"17H Huynh Thuc Khang bridge, Ward 7, Cà Mau, Cà Mau, Việt Nam";"Phòng Giường Đôi Hoặc 2 Giường Đơn Hạng Bình Dân (Budget Double or Twin Room)";"2 người lớn";"240.741";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0"
